date,gdp,gdp_trend,gdp_cycle,consumption,consumption_trend,consumption_cycle,investment,investment_trend,investment_cycle,hours,hours_trend,hours_cycle,capital,capital_trend,capital_cycle,tfp,tfp_trend,tfp_cycle,real_m2,real_m2_trend,real_m2_cycle,t_bill_3mo,t_bill_3mo_trend,t_bill_3mo_cycle,pce_inflation,pce_inflation_trend,pce_inflation_cycle,unemployment,unemployment_trend,unemployment_cycle
1995-04-01,57.256555870481165,57.57672179445109,-0.005576201604339914,37.26178223677027,37.295168765896754,-0.0008955980873435188,9.848554454834504,9.92109641381186,-0.007338752215213518,109.0385941196382,109.30212630535982,-0.002413954787539474,62.42257394605913,62.53866487752584,-0.0018580315937617442,22.03116777393854,22.105246702286994,-0.0033568199315303637,26.616265452045777,27.26851177554181,-0.024210109613176378,0.055966666666666665,0.046251332393786475,0.00971533427288019,0.022772292199053412,0.020790271989677263,0.0019820202093761494,0.05666666666666667,0.05831407652291104,-0.0016474098562443695
1995-07-01,57.594857347925384,57.94739627643827,-0.006102356695718569,37.471370675408174,37.54473129716785,-0.001955863960317661,9.76951209943468,10.066011686132372,-0.02989804314211497,110.00758125478973,109.72956865810893,0.0025304118592011093,62.716281989658434,62.85131443332469,-0.002150753849957887,21.998088297273103,22.15249020014914,-0.0069943605537816644,26.882909960797434,27.303685586645123,-0.015530928986945192,0.05366666666666667,0.04676854696206505,0.006898119704601621,0.019637575630189197,0.020177559976795045,-0.0005399843466058485,0.05666666666666667,0.057274947540425586,-0.0006082808737589152
1995-10-01,57.82792278633788,58.329414978920205,-0.00863475899371835,37.61399706280033,37.801340908226564,-0.004968332327024427,9.933384293121648,10.215477831774743,-0.028002769627473167,109.98792815096152,110.15730895709204,-0.001538809940011987,62.96999299642568,63.18667347083681,-0.003435104835073588,22.058480546445207,22.200823417524145,-0.006432245837685979,26.939689469434885,27.359174421043917,-0.015451273460887816,0.05260000000000001,0.0472612181912764,0.00533878180872361,0.019336521219366354,0.019595307999761016,-0.0002587867803946625,0.05566666666666666,0.05622349306971096,-0.0005568264030442957
1996-01-01,58.13756007965877,58.72211663478378,-0.010004501933322807,37.90845153187361,38.06504325718447,-0.004122278368129617,10.014264081222134,10.368925229136813,-0.03480288978716928,109.97064905563761,110.5805658882108,-0.005530854931136808,63.29430715396356,63.544636022178665,-0.003947197713330297,22.139015386537775,22.250609047627087,-0.00502792702586774,27.08343789294924,27.43516083879473,-0.012903039837086183,0.0493,0.04771375317773461,0.0015862468222653872,0.020015762784957092,0.019042915424320978,0.0009728473606361136,0.05533333333333334,0.05516913225590189,0.0001642010774314459
1996-04-01,58.9583439742554,59.12450401966306,-0.0028142978916907424,38.31670688813126,38.33576671280763,-0.0004973048924270529,10.410490884040533,10.525562318583084,-0.010992768522803509,110.71988945454375,110.99437865371841,-0.0024760638253491507,63.60289488008862,63.92497315095792,-0.005051114875946894,22.314683940387315,22.302123555302156,0.0005630338037154736,27.22966293219117,27.531608170290216,-0.011027804579385236,0.050199999999999995,0.04811389575638424,0.002086104243615758,0.02089031475923675,0.018519619874482994,0.002370694884753756,0.055,0.054120936227631256,0.0008790637723687447
1996-07-01,59.317879634659626,59.53518050679965,-0.0036566347388689024,38.47703284872809,38.61333841303312,-0.0035362576186139805,10.75524876372707,10.684313849607749,0.006617222024325464,111.32869685499274,111.39333014120037,-0.000580394215099922,63.978674460391375,64.3273070368627,-0.005434406571071193,22.324806037430314,22.35557598629528,-0.0013773361970352838,27.318217572962507,27.648299971624848,-0.01201045222765007,0.05096666666666667,0.04845038116643374,0.0025162855002329246,0.02107045571670474,0.018025267003855525,0.0030451887128492144,0.05266666666666667,0.05308807873920529,-0.0004214120725386239
1996-10-01,59.75384526883998,59.952604685673556,-0.0033207834592436924,38.723612562959886,38.89756846279161,-0.004482183568029985,10.707722948987033,10.843962510844062,-0.012643222447062286,112.25703023568255,111.77175913781498,0.004332227640888142,64.4158657421028,64.75105961036851,-0.005190099861569486,22.314573750126204,22.411185633818135,-0.004320196472328064,27.457870165877736,27.7848663118615,-0.011838659196546253,0.04976666666666667,0.048713248462243855,0.0010534182044228124,0.02352889436186123,0.01756118415035,0.00596771021151123,0.05333333333333333,0.052080282959788005,0.0012530503735453252
1997-01-01,59.85997831300358,60.37505293398543,-0.00856784859654347,38.89022654554938,39.1881746139646,-0.0076320598331260925,10.89738491228323,11.00326290623617,-0.009669012506396069,112.68604155902749,112.12389899233783,0.0050010576661900785,64.72055931590008,65.19542794848373,-0.0073104281839784235,22.262053606844248,22.469155078318337,-0.009259886213424995,27.53949376470027,27.94075898872104,-0.014465407098101846,0.0506,0.04889410937661294,0.0017058906233870588,0.02236379805519495,0.01713060189482339,0.005233196160371559,0.052333333333333336,0.051107008675998045,0.0012263246573352912
1997-04-01,60.72514256695167,60.800625679321165,-0.0012422570647512288,39.001090948206816,39.48475519385645,-0.012325034182662176,11.335626070794124,11.160810217544126,0.015541961396014603,112.98593175064352,112.44423403751658,0.0048059118783481125,65.22264010458157,65.65938383389692,-0.006673878310291315,22.483934498658595,22.529628704707285,-0.00203024237551519,27.734498168075735,28.115244540476983,-0.013634880041671682,0.05046666666666667,0.04898523402871713,0.0014814326379495382,0.018116781555928663,0.016740480637014853,0.00137630091891381,0.05,0.05017849883093752,-0.00017849883093751934
1997-07-01,61.322504341341656,61.22704093908335,0.0015579563571472832,39.493965009861355,39.78670597451211,-0.007384960078283154,11.504847958139033,11.315056385012184,0.01663424583210249,113.36028892574662,112.72756536401765,0.005597162355828189,65.78749234309522,66.14157510056017,-0.005367787622726716,22.588070957345295,22.592622313641378,-0.00020147350480792525,27.971693733247637,28.307345959483776,-0.011928284771279607,0.05046666666666667,0.04897995871937217,0.0014867079472944966,0.01646814524269602,0.016401051524263785,6.709371843223455e-05,0.04866666666666667,0.049305762820619416,-0.0006390961539527451
