Year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Côte d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1995,12187.8,33466.84,31342.95,816.4,29060.27,1316.47,1134.33,1648.08,3056.61,9343.92,23666.1,8272.15,1223.68,35738.74,42405.1,11898.53,3431.24,2441.3,2426.95,790.26,2098.32,8597.69,3733.76,2616.09,9864.47,23329.41,32570.66,30550.24,6529.19,8597.44,5668.05,4353.59,21821.61,651.82,28161.0,6433.89,28275.72,10694.77,28073.4,2818.97,3596.58,2729.71,1693.82,2145.97,20419.39,4710.43,40662.21,3764.52,1469.2,4604.46,1702.78,25668.75,5455.54,33038.73,28639.36,30583.93,5687.16,3672.92,35783.74,2319.68,22422.61,4203.32,2548.2,46934.92,5263.44,1174.53,12184.5,973.89,17098.65,706.41,3361.78,14867.98,1154.66,12752.09,5657.33,1123.65,472.61,3521.38,32155.63,37309.19,1528.82,25871.38,2844.11,7965.12,5024.66,5121.71,19151.79,5732.65,8441.65,681.25,2543.3,22475.36,1621.6,31846.59,20380.88,1107.61,1160.88,1481.6,8935.83,10363.36,8370.45,11844.7,28481.73,923.05,1148.79,12355.19,42847.79,8252.09,9211.53,1021.17,5814.68
1996,15569.97,34960.2,31967.04,746.3,28905.15,1341.82,1227.73,1660.28,3349.77,11043.68,25243.86,9232.8,1013.72,36273.52,42729.14,12283.93,3659.83,2563.75,2508.16,688.0,2318.49,8479.62,3529.65,3093.32,9468.59,22778.91,32941.7,31560.56,6672.23,8914.1,5577.77,5141.72,22539.3,642.32,28040.69,6641.12,28793.59,11755.12,29682.4,2790.35,3811.92,2708.55,1748.74,3670.22,20910.1,4731.76,42334.58,3494.75,1665.47,4933.6,1806.52,27494.09,6564.53,33539.9,29926.4,31243.6,5759.15,3625.64,37559.61,2348.1,24838.93,4390.36,2752.02,47193.2,6074.26,1195.03,12283.15,1206.6,16998.31,739.24,3572.43,16621.65,1094.42,13556.12,5870.37,1081.0,463.26,3626.35,33305.76,41733.71,1627.0,26873.71,2929.3,8275.61,5212.21,5470.83,19605.05,5718.58,8942.08,821.26,2860.26,27313.49,1753.01,32804.72,21155.42,1092.04,1068.96,1716.04,9778.36,10158.43,9456.37,12842.73,30148.03,957.91,1118.69,13017.96,44033.58,8040.37,9485.13,1127.28,6447.42
1997,15884.05,36290.96,33539.09,724.58,30190.76,1440.53,1305.86,1623.25,3327.96,10535.27,23422.65,9649.92,1037.58,37363.71,44320.64,12358.1,3757.72,2489.27,2550.76,690.33,2151.55,8537.11,3555.69,2945.08,9664.77,23260.78,33996.99,33088.34,7267.3,8496.63,5744.35,5202.6,24225.04,683.0,30470.16,6384.44,30322.69,10027.71,31371.13,2996.93,3396.29,2687.59,1991.66,6662.38,22679.92,4891.01,43059.8,3530.0,1708.71,4941.91,1854.25,30539.48,6825.54,36563.27,30878.26,32623.66,5669.95,3640.85,37646.12,2324.11,24159.88,4563.97,2788.24,51031.63,5563.5,1207.54,13003.72,1270.62,19442.06,787.14,3292.49,16413.29,1177.9,13890.79,5892.8,1056.92,488.67,3717.24,35467.71,43845.07,1595.66,27581.03,2841.42,8972.13,5464.89,5259.23,21154.28,5757.76,8523.61,926.91,2806.35,27837.72,1919.11,33953.15,22899.78,1230.17,1147.18,1821.2,8871.57,10338.0,9399.94,13296.91,31668.63,1031.45,1144.03,13053.82,45490.0,8064.47,9579.15,1183.5,5504.56
1998,15672.7,37137.21,34845.54,793.56,30345.21,1464.85,1357.79,1577.42,3334.23,9941.91,24377.67,9751.76,1065.1,37557.99,45515.74,12066.89,3741.42,2470.8,2604.07,611.72,1664.54,8211.04,3173.82,3250.81,10392.51,22803.71,35165.75,33963.25,8032.61,8693.35,5735.93,5185.88,25756.81,613.88,32887.98,6189.05,31888.02,8458.98,32121.95,2913.67,3348.48,2623.05,1641.03,6236.41,23877.66,5072.12,39778.9,3539.13,1675.78,3943.87,1976.45,33236.83,6865.66,37906.27,31693.59,34237.78,5717.9,3739.89,37128.62,2272.37,21078.75,4893.98,2403.73,54626.34,5535.2,1232.32,13815.47,1292.21,20159.82,820.54,3339.25,16652.34,980.37,11568.12,5961.86,1131.95,476.04,3840.34,36453.57,41572.94,1511.2,27843.19,2880.33,9551.4,5261.92,4727.57,22217.99,5850.64,8288.08,955.76,2722.16,30763.51,2004.04,35369.71,21590.63,1341.44,1112.79,1533.04,7417.95,10179.69,9169.98,13048.85,32852.17,1091.63,1217.1,13176.2,46967.6,7290.08,9516.0,1108.52,4694.4
1999,14590.63,38633.94,36093.91,789.19,31710.69,1558.88,1434.67,1499.01,3275.39,9463.23,24084.87,10506.66,1028.97,39872.33,46944.19,11407.16,3930.94,2367.77,2642.51,619.69,2086.74,7650.25,3116.7,3736.33,10271.37,24305.84,36591.91,35450.44,8440.99,8883.03,5309.48,5334.44,26719.43,618.1,34454.28,6589.77,33225.11,9760.92,33362.67,2988.07,3048.52,2765.31,1844.45,7854.0,24256.17,5235.68,40050.83,3387.35,1852.22,3939.08,2078.66,36071.6,7616.85,40203.78,32805.27,35258.9,5800.85,3605.25,37066.08,2233.97,23243.52,4873.62,2417.49,60363.39,5239.0,1258.14,14059.86,1354.7,21028.7,856.44,3272.36,16476.23,990.68,11857.32,6077.29,1106.87,707.92,4005.38,39085.13,46062.18,1479.9,29434.18,2870.11,9670.39,5175.48,4508.39,23547.53,5484.53,8316.22,943.31,2892.49,31027.73,2121.94,37317.57,22322.86,1424.29,1098.5,1636.71,7583.14,12015.73,9019.62,12271.65,34010.83,1137.41,1246.06,12399.74,48561.88,7322.38,9484.51,1079.79,4367.03
2000,14332.45,39331.9,38036.57,747.83,33739.33,1695.3,1452.54,1520.24,3264.69,9460.32,23597.75,11064.16,1038.01,41998.54,47393.05,11693.73,4199.84,2261.18,2673.3,544.67,2908.71,7760.56,2951.09,3989.52,10515.26,27567.72,37290.4,37403.96,8391.98,9704.58,5510.88,5409.2,28207.71,593.4,35949.78,6694.67,34969.0,11433.37,35217.96,3467.58,2790.32,2913.82,1771.99,10087.05,25357.28,5402.27,44197.27,3541.54,2175.77,3753.77,2137.65,39746.35,8242.71,39474.6,35327.11,36099.54,5864.07,3860.02,37915.27,2150.22,24834.43,4912.57,2454.03,66585.98,4984.97,1269.45,14849.22,1380.95,25529.68,857.18,3186.7,16539.1,954.18,13385.83,6176.45,1036.89,941.48,4033.3,42616.64,56381.23,1485.46,29589.34,2879.38,10030.54,5241.16,4540.94,24812.99,5208.98,8579.49,958.97,2781.18,40524.95,2323.75,39777.26,23785.51,1739.53,1031.27,1490.21,7754.84,14600.52,9209.73,13102.52,35558.93,1186.74,1280.73,11817.27,50036.99,8666.31,9835.73,1292.35,3356.71
2001,13321.49,40172.17,37042.78,742.3,33801.44,1762.79,1464.68,1535.84,3341.69,9288.3,23029.36,10805.39,1029.76,41247.48,47028.97,11511.69,4540.03,2223.59,2664.77,529.63,2714.75,7679.92,3198.03,4109.21,10787.23,28040.58,37771.26,37265.41,9149.3,9655.8,5798.61,5587.27,28700.03,672.91,36123.16,6628.34,35672.86,10162.87,35888.94,3139.44,2564.04,2924.9,1765.87,14263.42,26199.32,5599.32,46896.5,3504.37,2077.26,3800.95,2214.35,42077.63,9235.28,41138.19,35125.93,35995.87,5846.37,4065.5,37468.68,2180.05,25421.32,4879.76,2607.81,62035.97,5038.88,1303.9,14646.4,1471.31,22631.32,916.54,3062.97,16063.08,856.28,12923.66,6266.55,1089.28,998.5,4049.7,42938.49,56772.68,1392.39,30121.98,2829.97,10025.1,5204.97,4485.08,24602.0,5397.59,9329.08,1012.68,2840.47,39372.32,2438.77,38611.3,20979.6,1965.33,1084.19,1452.28,7973.48,13814.56,9309.32,12617.92,34288.8,1256.27,1323.49,11256.09,49912.23,8312.31,10054.94,1336.99,3782.88
2002,11287.75,40712.25,37653.42,758.15,34587.23,1888.8,1488.11,1588.27,3441.55,9232.44,22733.8,12533.86,1009.83,41119.55,46924.52,11481.02,4940.14,2147.08,2678.55,534.2,2628.98,7661.36,3194.06,4204.41,10691.71,26906.66,37600.03,37064.27,9048.39,9881.31,6233.99,5645.36,29265.55,580.5,35880.76,6544.04,35605.21,10450.12,35795.54,3076.7,2408.53,2688.49,1679.82,12665.39,27155.65,5682.74,49144.33,3572.16,2032.59,3817.39,2295.82,46392.9,10496.2,40690.41,34616.71,35316.09,5833.98,4361.31,37384.55,2068.82,27263.98,5168.15,2642.63,59912.57,4916.89,1165.69,14265.16,1452.64,23054.07,1035.52,3156.38,15961.27,1013.16,13435.98,6440.51,1106.16,1261.68,3973.55,42863.04,54437.69,1366.93,30559.32,2881.15,10359.59,5464.49,4454.39,24562.98,6900.77,9709.7,1152.92,2803.72,42400.7,2671.44,38685.71,21258.15,2404.06,782.3,1475.4,8546.55,14273.33,9135.33,12320.65,35205.07,1342.66,1356.75,10349.89,50114.77,7754.03,10455.94,1393.02,3254.09
2003,12115.07,41971.69,38394.57,773.5,35921.41,1952.26,1517.37,1606.84,3547.03,9082.94,20911.8,12158.93,943.45,42749.91,47516.76,11870.72,5365.04,2347.7,2767.81,564.9,2674.91,7820.7,3096.72,4363.42,10874.11,25184.34,38480.52,37679.65,8276.99,10634.92,6496.73,5750.73,29217.02,601.96,36471.54,6119.56,34481.52,11533.04,36378.23,3189.05,2088.69,2872.54,1658.18,14122.25,27225.67,5760.5,50446.92,3653.39,2040.75,3824.25,2463.02,49762.98,11498.96,40512.92,32723.29,35236.85,6346.41,4536.24,37952.09,1974.12,28217.0,5551.06,2679.84,57764.75,5038.52,1273.09,14228.52,1567.07,24119.35,1116.9,3252.04,15697.03,1024.09,14028.74,6352.98,1107.55,1643.92,4003.18,42688.3,58280.91,1484.06,31083.65,2904.6,11373.86,5745.86,4472.41,24338.29,7130.46,10250.48,1143.52,2751.19,40541.88,2915.5,39622.55,20785.07,2895.45,884.82,1479.06,9118.89,18370.72,9128.27,11893.27,35919.21,1399.66,1385.18,10257.76,51065.87,7481.87,10534.0,1537.47,2272.44
2004,13113.36,42933.58,39732.6,789.05,36637.98,2025.26,1555.43,1621.72,3703.22,9449.64,21595.09,12507.0,951.19,44200.81,48953.26,13106.79,5952.99,2188.27,2764.6,604.62,3128.92,8089.7,2993.54,4656.11,11215.02,25365.45,39573.63,39556.91,8504.55,11033.54,7106.1,5913.92,29781.83,692.33,38077.88,6088.17,34925.94,13587.45,37092.02,3336.36,1971.03,3446.55,1681.68,18373.04,28451.61,5866.69,57668.97,3779.16,1908.95,4128.37,2650.05,51708.68,12932.74,42238.29,32018.52,35210.15,6432.54,5471.13,38901.75,2007.82,29892.2,5710.28,2691.2,53136.39,4968.74,1347.79,14894.12,1408.7,22724.91,1118.07,3626.8,15586.29,1150.74,15080.21,6827.22,1030.29,2163.42,4092.66,43293.61,61862.29,1422.62,30939.17,3076.17,11404.92,6147.09,4514.18,24246.07,7358.9,11500.14,1228.2,2753.99,46068.43,3126.88,41318.5,16701.25,3962.44,1280.54,1424.08,9775.83,20277.25,9222.8,13078.01,37617.12,1448.07,1422.18,10614.16,52582.02,9442.45,10985.23,1592.68,2121.91
2005,14113.85,45488.26,43298.79,754.16,40701.18,2065.68,1641.1,1666.42,3896.66,9686.67,22032.34,14003.92,952.68,47073.38,52752.0,14570.87,6588.56,2141.67,2795.2,637.13,4293.37,8529.04,3319.01,4703.2,11871.86,28928.69,41565.6,43031.41,9431.82,12356.63,7963.39,6153.46,32439.23,806.13,40534.96,5941.68,37604.82,17984.84,39429.31,3346.97,1972.35,3571.45,1645.13,27228.81,29086.72,6019.34,60869.18,4056.44,1898.38,4452.75,2973.66,55875.63,14921.05,45611.08,31816.09,36438.45,6879.63,6394.6,39823.62,2093.73,32088.42,5823.61,2771.75,66100.28,4880.08,1391.35,15638.17,1467.49,25560.51,1190.01,3666.47,15024.49,1200.09,16883.43,7330.71,1036.27,3456.34,4306.81,48942.48,76282.56,1422.83,31823.97,3334.08,13825.34,6727.84,4605.26,26620.92,7434.93,11938.75,1308.73,2919.78,62080.61,3658.76,42820.68,21149.34,5889.39,1561.05,1338.24,10626.44,24625.36,9700.74,14305.22,40211.39,1594.94,1521.99,11229.85,53969.16,11884.34,11681.9,1776.49,1801.48
2006,15259.15,45679.09,43980.13,759.12,39286.82,2058.91,1654.42,1793.92,4040.76,10455.97,20567.95,14303.03,980.51,46799.21,55952.03,16854.55,7144.8,2195.84,2822.25,672.71,4609.47,9216.34,3208.02,4901.23,11952.69,29449.41,42595.03,44582.71,10494.58,13424.7,8460.08,6531.37,34817.59,793.51,41241.23,6637.25,38307.07,16863.58,39719.87,3352.85,2000.35,3208.46,1574.5,27331.1,31469.41,6234.13,55957.23,4097.7,1846.87,4878.22,3281.62,56340.17,15904.46,43693.66,31477.19,37629.73,7092.34,7247.3,40255.96,2248.76,33109.71,6428.14,2838.22,64797.26,5234.1,1429.07,15983.76,1612.99,25058.86,1195.9,3858.77,15771.48,1218.92,16887.71,7915.4,1055.69,3955.13,4301.65,50002.72,82402.68,1481.5,31891.81,3591.68,14851.86,7547.17,4742.34,27802.34,7810.6,13755.0,1419.4,2877.91,67376.32,4014.76,44403.99,23304.95,5537.88,1638.42,2293.91,11142.4,29506.78,10007.45,16124.4,40526.49,1720.4,1577.84,11861.17,55032.86,13901.84,12412.51,2012.83,1359.04
2007,16769.28,46090.77,45328.26,748.04,40197.41,2123.78,1603.92,1978.31,4219.32,11527.03,21718.01,14592.44,1015.93,47230.99,61161.11,18105.65,7817.45,2274.34,2889.42,692.35,3629.85,10036.59,2526.78,5551.73,12489.9,30878.05,45097.15,45687.33,11406.72,13692.44,8832.1,7413.09,36548.96,919.4,44680.04,6748.29,39857.41,17205.84,39250.95,3924.32,1966.59,3192.23,1535.31,31566.94,31673.48,6527.21,58844.32,4267.36,1994.07,5392.11,3622.29,60186.04,17915.81,45280.67,31280.05,39278.04,7476.82,7958.8,41021.09,2328.89,35007.51,7012.63,2745.54,68275.55,5459.02,1445.7,16249.97,1591.82,26269.72,1222.95,3914.87,17298.73,1432.09,18299.68,8090.01,1039.96,4276.35,4450.84,53258.06,82926.92,1560.5,33771.05,3776.26,13690.34,8302.52,5020.04,28355.01,8203.63,15591.71,1445.75,2975.13,71296.6,4418.24,47054.98,27271.53,5684.91,1762.32,1294.9,11842.09,32177.52,10596.72,17354.52,41674.1,1836.27,1631.89,13070.95,55561.87,15718.98,12991.57,2636.58,1525.44
2008,17920.45,47621.63,46818.81,764.15,43370.99,2125.95,1590.92,2193.26,4686.36,12705.69,19940.24,14481.41,1023.0,48610.48,65000.88,17407.62,8281.87,2359.74,2970.75,663.38,4920.06,10897.64,2664.49,6065.52,13053.73,32407.42,46266.53,48294.33,11560.21,14433.8,9664.32,8747.43,36635.13,978.54,46203.7,7331.25,39980.65,19817.64,40177.63,4304.03,1981.64,2932.52,1503.46,41114.87,32849.04,6697.68,57288.33,4018.69,1845.76,6382.03,3784.67,56254.65,17714.2,56671.1,30694.04,40041.08,7398.19,9320.34,40303.45,2348.99,34997.27,7534.11,3062.16,66359.66,6071.83,1583.97,16461.7,1693.36,26133.05,1247.15,3848.08,17349.8,1623.27,20175.87,8809.4,1081.92,4314.7,4567.62,55246.9,93274.22,1702.94,33758.48,3911.91,14888.19,9017.8,5260.88,28234.17,8691.9,18339.74,1461.01,2923.17,62610.48,4903.54,47859.12,16968.39,5792.88,1829.68,1236.91,12565.46,37359.01,11081.66,18270.86,40047.63,1962.74,1708.31,14605.95,54933.59,18366.55,13103.29,2754.68,1196.95
2009,16903.31,46605.59,44564.95,746.1,41608.61,2070.74,1540.93,2353.64,4799.18,13057.09,17594.64,13197.05,1084.95,43182.2,63229.73,17554.47,8938.09,2507.66,2895.95,657.21,3763.5,10974.4,2631.44,6153.62,13642.42,31801.4,43240.05,46005.83,12149.65,13045.8,9225.99,9276.95,34948.17,1006.89,42181.79,7884.72,38507.37,12171.49,36955.32,3999.7,1839.93,2923.32,1431.94,27650.64,32017.87,6729.51,51092.26,3958.01,1879.11,6983.95,3991.58,52878.87,18044.98,47770.59,31679.55,38338.21,7390.94,10554.34,38058.36,2425.53,33631.83,8348.82,2988.54,60593.63,6548.87,1535.51,15710.42,1974.57,25905.69,1233.38,3794.62,16718.84,1196.98,18632.19,8456.09,1080.01,4471.68,4367.13,50439.02,77867.0,1915.59,33797.09,4040.54,15173.58,8962.98,5374.61,27659.72,9207.96,17999.64,1519.42,3037.0,58718.64,5222.86,44327.0,20003.23,5725.25,1664.02,1252.26,12314.05,27754.58,11440.04,17457.61,38293.87,2046.74,1831.63,15475.95,52871.7,15790.42,12561.62,3004.56,2112.66
2010,19190.5,50222.52,45806.35,766.59,44733.91,2078.01,1634.33,2650.66,5248.62,15012.52,16825.58,14527.12,1120.84,45646.47,64724.32,20055.4,10116.53,2796.3,2935.96,712.18,5782.82,11956.13,2503.14,6556.3,13726.42,31855.75,45435.34,48860.05,13096.97,14808.77,9908.48,10419.65,34567.6,1155.48,43468.39,8670.0,39900.06,13814.35,39109.24,4363.86,2021.21,2956.56,1487.18,38225.53,29795.95,6941.24,55370.08,4111.9,1826.83,8177.11,4554.74,52986.94,19116.52,43342.04,32680.99,38651.53,7533.6,10614.14,39789.7,2608.52,35927.84,9202.44,2692.54,67784.18,6897.94,1652.35,16873.34,2017.81,26953.38,1227.1,4468.0,17088.41,1159.49,19924.39,8970.76,1190.57,5035.76,4466.51,50553.6,83524.73,2118.27,34903.13,4204.38,16334.6,10113.22,5814.08,28848.96,10500.25,18466.54,1625.85,3103.99,71970.0,6049.8,46317.1,20765.44,6208.39,2135.63,1297.45,13892.67,31893.31,12024.07,19774.95,41677.89,2284.54,1946.54,17710.6,53887.07,18995.25,12896.75,3307.83,2281.99
2011,21360.64,52136.22,47593.11,811.2,44285.63,2160.35,1657.57,3030.01,5819.72,16611.41,15311.92,15922.71,1132.23,47756.73,70466.37,22020.88,10874.71,2889.43,3044.65,746.3,7036.4,13226.35,2731.47,7107.89,14410.86,30961.53,47754.1,49686.81,13231.8,15523.89,10796.92,11504.67,34297.75,1267.28,44077.23,9192.67,40818.42,18695.83,39317.53,4841.93,2100.62,2571.8,1567.64,45539.74,27150.49,7311.48,59504.65,4355.01,1833.39,9775.59,4893.67,53714.66,19992.9,44048.38,33663.43,39455.66,7649.43,11674.0,39162.33,2757.11,35839.07,10294.87,2726.61,66803.41,7624.13,1758.62,18200.08,1988.09,28355.17,1180.9,4535.49,18954.36,1192.21,22259.44,9607.41,1131.75,5234.29,4676.19,51588.31,90686.55,2321.92,36292.4,4465.34,18371.81,11022.33,6237.94,28366.14,11502.42,18560.09,1734.15,3099.55,75916.24,7215.22,49371.04,23981.38,6367.39,2020.74,1395.05,14623.64,35802.52,11746.1,21790.71,43284.26,2613.55,2054.63,19352.55,54379.75,20668.8,13401.34,3693.49,2449.21
2012,21611.59,51097.93,48182.36,815.92,44366.01,2384.7,1750.77,3113.9,6424.16,16416.6,14260.48,14734.38,1250.97,47564.66,71807.03,23062.06,11501.82,3346.07,3175.77,773.65,7537.83,13683.41,2961.57,6783.91,15094.23,31319.17,47312.2,49100.34,13328.42,14968.81,11377.92,13117.72,34080.4,1336.03,43473.6,9773.8,41133.78,16368.32,40067.91,5338.28,2156.96,2585.11,1509.96,46761.9,26113.64,7688.28,61950.71,4573.72,1827.43,10309.08,5230.33,54413.63,17011.91,45529.61,34910.71,38435.73,7937.3,11807.08,39235.85,2919.01,35776.13,11349.77,2954.86,68756.32,7691.66,1760.0,18862.56,1909.77,28859.14,1209.88,4403.51,19543.26,1081.92,23680.81,10300.41,1208.48,5303.82,4794.17,52656.03,94650.81,2554.76,36036.38,4508.89,20502.67,11566.98,6586.15,28407.57,11276.21,19638.71,1792.55,3168.31,75062.59,7372.19,49126.63,25226.48,5455.45,2114.56,1564.83,16121.76,35146.19,11816.9,22535.36,43634.21,2381.59,1923.26,19712.19,55352.0,20962.39,13223.49,3503.7,2762.68
2013,21429.31,52768.6,47261.83,871.46,43980.91,2567.68,1779.42,3260.88,7039.9,16445.1,13108.82,14868.13,822.41,48815.65,70778.5,23622.01,11899.74,3657.73,3226.73,826.74,6984.39,13840.16,2985.09,6385.51,14711.62,28148.77,47302.22,47969.64,13388.62,14278.21,12181.18,12747.48,33551.82,1400.89,41426.9,10762.62,40529.36,16564.46,41322.34,5636.32,2168.8,2447.13,1479.85,42763.11,26244.69,7549.36,68567.91,4343.89,1817.16,10405.76,5237.0,54242.17,16181.03,45043.26,36078.67,37340.99,8067.03,11130.21,39666.53,3051.34,34785.42,11624.57,3054.46,65823.29,7642.49,1708.01,18710.57,1942.93,27884.65,1221.0,4763.68,19607.26,1206.15,24149.77,9976.19,1170.23,5541.93,4840.07,54954.08,91533.17,2674.56,36690.32,4434.18,21937.14,11749.85,6724.5,27645.29,11698.77,19739.8,1787.66,2990.85,71907.52,7369.93,48665.79,23460.27,4930.46,1804.32,1632.36,16157.03,34756.57,11290.62,23663.62,43225.45,2403.51,1896.21,19969.34,56144.17,19802.12,13105.89,3438.33,2864.6
2014,20635.3,51919.36,49125.19,884.55,43960.46,2831.67,1712.65,3453.29,7257.53,16262.96,13087.2,16191.08,787.73,49926.12,71761.33,23741.92,12411.44,4091.11,3319.38,890.46,6489.6,14080.85,3005.56,6257.35,15424.48,26588.39,48789.92,47861.26,13998.33,13804.14,12239.4,12364.08,33744.03,1666.41,41140.89,12349.98,40418.52,16101.84,41283.17,5831.96,2068.87,2291.74,1477.38,39636.0,26016.3,7533.85,59591.82,4569.14,1854.97,10458.3,5397.07,58406.46,15579.53,45567.03,36230.45,36959.64,8039.16,10663.56,39171.81,3285.3,36241.83,11732.65,3212.46,76519.36,7204.26,1648.29,18637.2,2041.39,28741.29,1292.9,4307.87,20028.93,1081.64,23988.04,11200.09,1194.3,5730.01,5079.56,52230.89,84909.97,2849.15,37205.36,4487.15,23684.98,11764.07,6885.65,27811.79,11972.81,20324.88,1895.94,2989.18,76938.25,7582.24,48693.2,25113.52,5466.56,1811.24,1755.0,15646.75,33281.59,11199.04,24477.9,44624.94,2352.79,1906.15,20720.69,57250.52,12935.46,13029.22,3464.59,2846.52
2015,21197.79,48712.19,49618.71,853.44,42891.35,3072.49,1716.61,3714.8,7336.28,15077.58,12689.14,15194.87,872.6,46945.51,71452.91,23214.65,12784.44,4541.9,3367.54,944.79,4702.7,13796.84,2988.68,6515.85,16333.76,28228.88,48064.57,47492.91,15161.65,12512.01,11354.9,12621.58,35774.74,1758.57,41660.52,12973.97,40998.42,15222.63,42629.23,5354.64,2086.24,2270.71,1665.4,27242.69,26330.74,7737.96,51588.31,4976.49,1913.09,10247.41,5634.44,75990.26,13497.84,47414.69,37281.35,36995.26,8088.89,10457.68,40274.21,3538.23,38249.12,12045.04,3382.44,82382.44,7604.14,1643.51,18518.39,1987.02,33804.83,1344.0,4392.76,20134.16,1124.05,23256.72,11041.7,1191.83,5576.29,5300.76,51664.72,70778.64,2829.85,37060.95,4649.53,24786.47,11662.25,7088.78,28654.19,11727.36,21573.5,2016.81,3069.64,75352.25,7584.58,50104.22,23875.11,5714.92,1942.66,1937.67,15575.19,29230.36,10798.31,25759.3,44206.37,2468.43,1986.39,20543.25,58543.56,5312.8,12932.48,3277.05,2880.91
2016,20887.23,51497.21,49865.79,860.21,43413.09,3162.43,1844.66,3833.73,7606.1,14219.4,12570.78,15642.4,910.51,47032.89,72050.64,22606.17,13147.85,4546.25,3484.3,1060.69,3968.59,13566.16,3090.49,6723.24,17231.31,30758.47,49255.84,48930.09,16169.96,11854.6,11039.75,12098.37,37270.55,1970.35,42577.58,12733.72,41386.22,14748.53,42644.36,5022.62,2241.38,2157.3,1773.19,23845.72,25818.57,7599.91,50629.37,5222.59,1826.07,10315.83,5886.46,81188.49,13911.05,48601.99,39039.24,38755.73,8092.59,10088.11,39467.09,3722.67,39214.76,12556.95,3232.32,86516.09,7520.17,1676.65,18913.81,2165.88,34217.0,1429.14,4473.63,21841.8,1084.66,23426.95,10507.84,1147.83,5327.93,5536.6,51435.76,67263.19,2930.82,38738.78,4587.18,26693.41,11747.66,7557.38,29452.1,12007.7,22819.52,2058.75,3100.38,75539.91,7707.98,50485.5,20644.57,6450.95,1681.3,2044.95,15815.4,26597.22,10819.56,25308.47,43836.17,2404.38,1901.4,20435.48,59115.33,2127.18,12695.81,3324.51,2919.62
2017,23272.18,52536.19,51954.28,826.23,45150.2,3071.03,1919.57,4112.7,8176.87,14284.61,11801.71,16208.26,928.04,48902.64,73624.98,22864.05,13854.23,4548.88,3521.31,1006.6,4074.67,13426.76,3136.66,6890.05,18127.81,31253.99,51253.33,51671.6,16557.01,11408.49,11413.08,12009.69,38928.51,2025.77,43827.15,12996.86,42818.76,14775.11,44093.93,5080.75,2422.33,2192.03,1907.24,25498.29,26477.58,7507.97,49927.07,5346.96,1653.77,10640.7,6188.46,86808.65,14040.69,49844.32,38979.03,40155.51,8206.21,10580.57,39598.29,4044.91,40875.21,12733.1,3033.48,90597.55,7591.13,1632.06,18939.9,2240.45,35154.08,1266.61,4935.18,22267.2,1147.52,24159.17,9921.88,1128.35,5060.98,5654.63,54233.45,69604.79,3278.16,39728.86,4743.69,29459.16,11956.63,7858.48,30430.03,12347.54,25424.06,2067.89,3135.17,81444.79,7942.1,52032.67,23278.05,6661.08,1579.25,2051.68,16665.38,26099.36,10910.07,26611.18,45375.41,2300.11,1927.23,20615.56,60116.57,434.26,12735.03,3164.38,3112.88
