date,gdp,gdp_trend,gdp_cycle,consumption,consumption_trend,consumption_cycle,investment,investment_trend,investment_cycle,hours,hours_trend,hours_cycle,capital,capital_trend,capital_cycle,tfp,tfp_trend,tfp_cycle
1974-04-01,40.81338036640965,40.533523472713924,0.0068806060116965995,24.551737442035787,24.492529327727496,0.002414477653424729,7.399248389090818,7.0482810239855755,0.04859466530119172,102.37520979851702,99.89758073002834,0.02449912304045654,41.93561606009997,41.2765232577011,0.015841596943984015,19.93681071148895,20.22978900680459,-0.014588413924333299
1974-07-01,40.22569371496301,40.594064050038696,-0.009115911658708509,24.47733924111856,24.552546495764954,-0.0030678151702958623,6.988143742971763,7.065859438342468,-0.011059694028515699,101.51783931034313,99.65559359488964,0.01851436229480452,42.19111753015505,41.46777737242314,0.017293037032618752,19.71548413965082,20.25916255682211,-0.027202839213113617
1974-10-01,39.86949261947247,40.66081588497628,-0.019653438593696837,23.90354134297633,24.616042473157872,-0.029371742139986168,7.011933759254053,7.087498761377455,-0.010718974047174923,99.36060747700493,99.4323855115117,-0.0007221385074691611,42.334727367078195,41.658739740644975,0.016096542868722086,19.792077693374353,20.28942078509278,-0.024817865477452905
1975-01-01,39.193616688587504,40.736370494116095,-0.03860742337868661,23.892566638427894,24.684115505295946,-0.032592548558519674,5.9248443296904805,7.115219277383989,-0.18308163688880663,95.8196396006932,99.2362586716404,-0.03503578807466834,42.48566167509307,41.850446124577246,0.015064189692621355,19.89614149144133,20.320545546411264,-0.02110665207839224
1975-04-01,39.287737585773556,40.82284172594748,-0.038329321510494285,24.107074683802686,24.757423381718638,-0.02662002589601986,5.786204999842344,7.15103712622468,-0.2117807625574637,94.49533035653715,99.07542215264954,-0.04733098094537702,42.365327688635496,42.0443744581798,0.007604689249057994,20.14514494193012,20.352202984765015,-0.010225847258418685
1975-07-01,39.734332906573975,40.92138127963659,-0.029437073434206873,24.335588275433093,24.83612840142728,-0.020359566421187303,6.1627698893217815,7.1962077777796445,-0.15502785590025092,94.81499410538481,98.95589616536273,-0.04274669517109153,42.17444600212226,42.2424278323075,-0.0016106221847200786,20.361622330244476,20.38378831012168,-0.0010880234959227408
1975-10-01,40.07136239723628,41.03217840900494,-0.023694673622857376,24.477785811034554,24.919983209931452,-0.017904015502525628,6.282755192276079,7.25108932444099,-0.14334310007375795,95.95736902153324,98.8807927664156,-0.030010990990949615,42.11695335856148,42.446747244603166,-0.007799932020796874,20.384828520155004,20.41456251071482,-0.0014575705701833641
1976-01-01,40.7773700577854,41.15467725225214,-0.00921031205964784,24.861001065152603,25.008421545666536,-0.005912276590323007,6.82363370881727,7.315375391499317,-0.06958621935417009,97.07076629512041,98.85063011178383,-0.018169662074233095,42.09755849942929,42.659473254246166,-0.013259619315047821,20.59233515558325,20.44376828447846,0.007240820046579
1976-04-01,40.89265602226944,41.28771310504919,-0.009614464626004793,24.936075543365998,25.10059030766271,-0.006575792144181136,7.1152610406479555,7.388117158426888,-0.03763100050093571,96.68761333731352,98.86413192797195,-0.02226120222174366,42.22526570565166,42.88258267953952,-0.015446990059808208,20.681771613210675,20.470625649318553,0.010261750507981393
1976-07-01,40.91879140993375,41.42987520221972,-0.012412838617798627,25.134101892748436,25.195532034205186,-0.0024411134025439374,7.120865433992022,7.468026164095636,-0.04760146141236965,96.60739589306974,98.91895691077254,-0.02364559749395667,42.406916353955005,43.1177404461725,-0.01662305321054136,20.675071131791583,20.494443975173162,0.008774857568454308
1976-10-01,41.03263134298531,41.57948894896437,-0.013239354995698172,25.29510460748117,25.29217146402417,0.00011596368447053251,7.162726240276832,7.553594721394729,-0.053132903672705956,96.69755715073931,99.01143479443566,-0.02364720644191376,42.59973198594836,43.366235126164405,-0.01783318398258693,20.687151249739102,20.51466221195922,0.008372934635474394
1977-01-01,41.33760092707071,41.73453526639182,-0.009556450053294085,25.530580328866332,25.389378252075932,0.005546054736031536,7.489749318549904,7.643025184991824,-0.020258163275703733,97.29168425891727,99.13646222646446,-0.018783786757859744,42.7984286153015,43.628938954127975,-0.01921928034069298,20.724311546377397,20.530831455849544,0.009379752194428104
1977-04-01,41.94394009359808,41.892620040040434,0.0012242883030042506,25.6240669595577,25.486006463279093,0.005402490070117505,7.950585014363695,7.734178882066101,0.02759619044591366,98.6731674235541,99.28747793485662,-0.00620641018927337,43.05756586535662,43.90626406808749,-0.019519037946489348,20.79248107079321,20.54261115777149,0.012090112453285062
1977-07-01,42.49247481090427,42.05106214298348,0.010442351831667196,25.812827586911308,25.58098142797889,0.009022399239727363,8.30672780032553,7.824714403331289,0.059778527030494466,99.24765397750188,99.45673673927733,-0.002104461186649864,43.41289289553067,44.19811049245784,-0.017925570815469527,20.924790114675112,20.54978315858674,0.018084196970249877
1977-10-01,42.30392169676248,42.2071720958499,0.0022896317829417256,25.895292491028258,25.673299564219462,0.008609670702838912,8.254470943376333,7.912316999008419,0.042334326969220015,99.78033348194205,99.63606698973004,0.001446887187202428,43.86272579810307,44.50384035893396,-0.014510596891087246,20.684820048425706,20.55228731237973,0.006427860771691218
1978-01-01,42.25822870155906,42.358497337150936,-0.002369949470208521,25.976448341186583,25.762089087261323,0.008286298419682758,8.341278932434388,7.994872261151741,0.04241618501021582,99.81483883347212,99.81711165771227,-2.2770145106321138e-05,44.289812503418226,44.82230227523861,-0.011951149652019488,20.587894054359197,20.550298872923737,0.001827751256260779
1978-04-01,43.70164908431619,42.50261272511519,0.027820287946879407,26.453499325523186,25.846606953209072,0.02320911591945629,8.820125994396998,8.070404528196818,0.08883254656040629,102.27865512294187,99.99154420307822,0.022615376918915686,44.72117147132326,45.15190677154717,-0.009585486703977963,20.88535017381922,20.54407858421477,0.016475211903879572
1978-07-01,43.93942937479916,42.63700083071056,0.030089640015774854,26.458784843022155,25.926237084653668,0.02033276252856675,9.032939547647219,8.137102265825806,0.10444371611923753,102.67410481009465,100.1509794133139,0.024881099602152013,45.244553748602044,45.49068011919394,-0.005425168675389891,20.861253699449904,20.53391305721939,0.015815733632473794
1978-10-01,44.32383971412545,42.759862653721314,0.03592280071078546,26.508134505748238,26.000736098501577,0.019326799268349237,9.22919363772075,8.193582323973319,0.11902047707745478,103.43267422288275,100.28840139136611,0.03087086133211958,45.79685373268387,45.83631516763128,-0.0008612915576406976,20.854566302063265,20.52030202500634,0.016158192797604
1979-01-01,44.20433944842571,42.870194320815685,0.03064614843860225,26.543160897457085,26.07019262313734,0.017979504581279837,9.199298475442301,8.239003335161415,0.11024784634320062,103.71061562868695,100.39832939502686,0.03245891101567544,46.385850523486965,46.18627713195226,0.004311744923243488,20.669438808464008,20.503948499758394,0.008038745933188096
1979-04-01,44.06528787316525,42.96795787481206,0.02521767723376067,26.488264019724003,26.13501538947339,0.013425766707249043,9.17091319082392,8.273168768272495,0.10301926602686873,103.60410336699685,100.47721765410896,0.0306459250383595,46.95817918440108,46.53792735222473,0.008989778890274636,20.529882059144636,20.485761464490853,0.0021514040927423927
1979-07-01,44.19014388008789,43.05395163717885,0.02604775661407821,26.701742842467052,26.195914596756555,0.019125371087672427,9.038606554665934,8.296499673081724,0.08567132062364191,104.07405852019964,100.52357560719867,0.03471046372840281,47.485448350274915,46.88867222344081,0.012647197723136383,20.447509002661157,20.466750220231887,-0.0009405629897587531
1979-10-01,44.07300510130444,43.12967093614285,0.021636284754113166,26.778817591591636,26.253829684020577,0.019799315500870218,8.864733789915782,8.310002508169896,0.0646209990441502,103.77395380453326,100.53786642940943,0.0316805755784495,47.93142708826908,47.23610580040598,0.014612833592725138,20.364882232015727,20.44794806080469,-0.004070579907857308
1980-01-01,44.02370805006194,43.197333496579006,0.018949539398048998,26.86232634716824,26.31002439198898,0.02077477528895466,8.75098861643722,8.31517373392838,0.05108467225800739,103.08510005187294,100.52276531762237,0.025170638777930243,48.36120693073636,47.578129428941814,0.016324792774325747,20.36662619740101,20.430372515214312,-0.0031250519255570097
1980-04-01,42.94826283684592,43.25976174269577,-0.007226711505024408,26.17292763585579,26.366100266239368,-0.007353523982815524,7.9728168645193955,8.313877851395034,-0.04188828500510988,100.82874736681777,100.48296285180894,0.003435317843112351,48.76343605244918,47.91302616627663,0.01759335833958131,20.098634714147277,20.41498581997261,-0.015617342093887654
1980-07-01,42.720576423229225,43.32031045224826,-0.013940900980808468,26.378351909874986,26.424015782901552,-0.0017296150307553049,7.404111451188232,8.308261883839426,-0.11521497997165664,99.9537050112626,100.42474276247597,-0.00470148984681984,48.94571321646249,48.23953012451197,0.014532978400652485,20.079435125668333,20.402707993109136,-0.015971473564593275
1980-10-01,43.3670613460984,43.38215814315709,-0.00034805609318411257,26.60910246775482,26.48562513088951,0.004651217364024074,8.010471766124573,8.300259270945258,-0.035537095287916376,100.94797208455103,100.35460255839,0.005895316994799948,49.01301993104223,48.556883919811675,0.009350000692208038,20.24283544567417,20.394258940000405,-0.007452510936232226
1981-01-01,44.06340533577577,43.44812309855095,0.014061973021807006,26.596153261805966,26.552772105636958,0.0016324381162102775,8.735671098601735,8.291202576005773,0.05221974724707268,101.17859628198738,100.27873320980409,0.008933594614980223,49.22885818856769,48.864764339389275,0.007423429002066495,20.505828443796684,20.39015573336176,0.005656937776743032
1981-04-01,43.59346155290966,43.521032040811804,0.0016628582868243313,26.431830182518794,26.62739914749606,-0.007371756171088872,8.40629197548391,8.282235565340834,0.014867542386792998,100.92381095448089,100.20367829992013,0.007160987636043892,49.62601277388293,49.16313793141956,0.009371033691094599,20.263338819442584,20.39082261798269,-0.00627164412684289
1981-07-01,43.96609997469932,43.60411635222588,0.008267324197928971,26.403035872856496,26.711502657944408,-0.011615285067897663,8.795582394330761,8.27476726392753,0.06103879913294774,100.52639268797078,100.13652129499442,0.003885838950680842,49.92229541070259,49.452210347032626,0.009460949093649251,20.446387607574096,20.396759166057322,0.0024301979578962296
1981-10-01,43.34023362791739,43.700683085057484,-0.008282346538549756,26.082822718584392,26.806988785707443,-0.02738566483063609,8.499371076065147,8.270278999318366,0.027323924926903942,99.74967766386759,100.08477584307096,-0.0033537609497589216,50.304723220880575,49.73249324713713,0.01144046656352593,20.20316946122797,20.408389374708477,-0.0101065640506528
1982-01-01,42.541162925192964,43.8143051585785,-0.02948821923866607,26.16878223560076,26.91560732482435,-0.028139133686631013,7.643684635633388,8.27056679858517,-0.07882327432753922,97.78141196918031,100.05618838130748,-0.022997414691621643,50.62101631790942,50.004814510847176,0.012247541304393206,20.045216928354158,20.426173765258113,-0.018826538078230648
1982-04-01,42.605366879495556,43.94838168822117,-0.031035573370433944,26.080598375054986,27.038689396086372,-0.03607710029641131,7.590532121030138,8.277574885187981,-0.08664834011201394,97.93338565602609,100.05829981269392,-0.02146550489764465,50.708315366522136,50.27038722551094,0.00867372773348496,20.04312326248452,20.450450558055028,-0.020118798930359283
