Year,Argentina - ARG,Australia - AUS,Austria - AUT,Belgium - BEL,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Côte d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Netherlands - NLD,Norway - NOR,New Zealand - NZL,Pakistan - PAK,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,Sweden - SWE,Syrian Arab Republic - SYR,Chad - TCD,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1992,22858.74,69134.6,62287.72,71172.33,2523.4,5103.93,5725.32,17482.21,32513.32,22577.17,71610.16,72394.81,27819.47,4812.15,7445.8,5996.74,4336.0,7368.94,23451.34,25952.78,57385.89,63798.18,57651.49,18078.15,48080.3,18840.9,12470.04,55869.75,1431.44,55614.23,68686.59,37293.7,55171.94,7423.02,48509.47,12622.07,78400.69,9521.4,3744.32,60175.97,18027.29,61528.15,65274.75,70128.64,14615.28,18124.78,60022.02,5624.13,38064.98,12943.61,83477.23,15809.21,2744.86,37194.51,2388.67,42782.96,1562.37,33540.32,2348.28,27624.4,21516.91,2722.04,2559.02,63431.63,70684.41,52107.95,11275.28,10575.89,11653.24,36215.85,14436.5,15232.68,2592.63,7713.21,50944.8,59183.86,4624.5,3128.04,13035.61,34093.51,24864.73,33438.72,58287.51,2313.84,3345.13,27215.64,84576.57,26723.34,27902.9,3968.65,12628.24
1993,26328.67,71345.53,64026.58,72081.32,2551.58,5084.03,6026.7,18636.85,36736.16,22670.24,72716.0,73896.89,29195.24,5210.06,7042.3,6161.06,3258.4,7592.42,23557.62,26878.51,57032.53,65377.08,58145.96,19752.82,45450.29,16950.82,14208.68,58381.63,1577.73,58827.19,69260.88,36897.85,57216.41,6921.82,49010.3,13154.59,83117.69,10058.43,3844.12,62864.1,22728.31,62550.05,64913.7,71909.29,15648.84,17410.55,61605.9,5719.87,41251.63,13383.52,88030.65,15624.82,2721.18,36637.17,2465.49,45431.67,1652.54,35334.39,2533.74,28841.28,22281.5,2627.68,2114.7,65208.87,70893.92,54644.05,11450.93,10964.68,12131.05,37813.92,14816.5,15675.58,2493.77,7522.98,49597.97,60271.55,4259.49,2862.2,14174.26,32052.03,25911.61,38850.47,60822.71,2157.7,3393.88,28319.79,86114.38,25235.46,28070.09,3812.65,12660.05
1994,30495.68,72249.97,66985.99,74214.52,2148.89,5165.81,6242.29,20815.33,57150.41,23045.13,74721.06,76252.28,31569.49,5554.26,6697.21,5845.83,2307.39,7017.03,23934.82,27225.13,59073.59,67807.24,59540.82,20511.03,44843.01,16734.62,15679.05,61251.95,1425.12,63755.55,70283.29,32735.2,58357.74,7160.03,50432.55,13472.93,84625.53,10385.02,4014.04,63865.31,23511.12,63964.77,64839.45,75505.03,15393.99,15878.27,63514.15,6264.97,45113.37,14202.38,90449.36,17150.04,2635.94,37131.0,2418.62,46319.51,1746.2,37132.43,2937.87,30720.21,22687.09,2571.08,1699.78,66609.04,72682.55,55663.78,11204.83,12149.32,13149.02,40286.31,15246.43,16624.97,1192.95,7782.47,46035.99,64666.02,3891.24,2858.09,15435.36,31111.25,27441.85,32964.37,62151.3,2087.63,4397.35,29825.9,87951.64,23521.76,28676.33,3579.2,13601.73
1995,35865.44,73297.17,69856.94,76156.83,2447.05,5247.03,6838.2,24056.13,57167.27,24779.39,77192.11,77624.58,34778.24,6089.64,7409.2,6353.95,2343.29,6569.17,23912.11,27623.44,60285.05,69884.48,61209.8,20944.71,44612.52,16442.09,17968.54,63328.01,1545.08,69869.58,71122.15,35722.47,63357.0,7368.91,51548.15,14079.41,86819.62,11088.18,4300.22,69669.61,23752.9,61876.89,66695.43,79379.98,14958.6,15695.86,66834.05,5685.25,49257.17,14326.33,89008.96,16435.78,2639.02,34896.83,3216.24,44790.57,1755.11,36971.41,2801.47,33667.06,23743.18,2672.48,1510.42,68394.89,76725.5,56117.83,11809.58,12920.06,14236.68,42140.83,15592.13,17383.0,1486.09,7704.31,46785.19,68081.01,4029.61,2940.14,17181.63,30115.21,28904.21,35691.24,64662.82,2214.53,4295.36,28913.38,89137.27,23604.7,29753.15,3676.7,13133.26
1996,45215.06,76420.02,71067.98,75698.89,2706.79,5247.4,7500.55,29424.38,58467.89,27714.91,78360.57,78783.66,35036.24,6491.73,7773.06,6621.75,2027.86,7224.13,23638.31,26505.93,59492.6,70857.55,62967.38,21516.44,45515.77,15921.65,21506.99,64747.53,1513.9,68639.39,72265.86,39264.22,66537.3,7348.17,53323.85,14172.99,88194.13,11780.74,4599.08,72540.14,28119.61,63066.76,68987.92,80621.13,15352.77,15289.96,70234.66,5638.14,53928.29,14576.08,88425.66,18878.85,2684.26,34575.17,3988.24,44132.5,1844.48,41845.39,2663.29,33488.56,25112.86,2570.57,1476.4,69710.93,84545.7,57335.93,11997.85,13113.81,14570.78,42587.06,15521.5,18242.1,1769.51,8758.4,56510.9,70810.34,4001.12,2738.16,19153.67,28758.95,32161.62,38328.27,69697.04,2306.9,4152.4,30321.03,91341.71,23019.13,30752.52,4036.88,14712.13
1997,44378.75,79603.28,74105.62,78721.54,2941.88,5095.71,7534.09,28052.67,53415.39,29166.92,79950.34,82034.69,34701.86,6647.58,7513.89,6780.0,2020.77,6620.4,23720.94,26620.47,61243.74,73267.28,65386.91,22658.51,42666.01,16004.45,21449.26,67363.44,1613.24,72351.3,75780.51,33494.36,69265.58,7864.48,58352.47,14629.52,87300.39,11787.2,4753.6,78326.19,28581.27,69317.17,71254.89,83955.64,15320.16,15317.06,70060.43,5503.14,52047.26,15045.03,93647.6,17032.42,2708.54,36263.84,4196.46,50726.17,1965.29,41585.5,2857.85,34449.9,25482.62,2506.93,1549.39,72394.61,86778.38,59149.18,11456.04,13663.02,14097.7,44979.22,15569.91,17228.05,2044.75,8623.56,55929.97,74283.4,4544.27,2939.22,17093.1,28326.04,31473.12,40477.62,72965.66,2503.15,4203.55,30248.6,93381.77,22225.02,31120.66,4247.4,12722.94
1998,42334.34,80935.43,76304.16,77926.57,3125.02,4916.74,7627.61,26959.8,53950.57,27716.89,79274.07,83390.63,33557.35,6599.28,7410.27,6958.7,1791.52,5065.62,23163.1,28288.72,59843.33,74901.65,66423.69,23460.62,43008.38,15548.38,21147.85,68902.0,1461.48,76767.88,78605.84,28254.52,70415.56,7685.7,59175.69,15122.14,82128.5,9283.25,5098.79,80815.74,28088.69,69739.15,73164.15,87244.88,15631.65,15689.9,70085.26,5320.17,48665.88,15032.6,97236.03,16758.96,2759.06,37654.48,4270.34,53049.75,2066.18,42110.85,2413.64,29372.87,26142.06,2680.42,1496.05,73126.92,80635.51,60533.1,11572.2,12822.05,12785.84,46184.53,15732.77,16779.37,2159.85,8273.92,61544.02,76135.71,4996.43,2850.4,14921.83,26796.7,30334.34,39354.25,76114.14,2633.82,4415.17,30354.53,96090.99,19490.45,30932.69,4042.43,11001.33
1999,39526.7,83614.22,78008.24,80509.76,3372.66,4640.27,7529.35,24748.85,52110.21,29009.23,82668.07,85721.1,32231.38,6913.06,7135.06,7090.23,1827.36,6304.69,22268.65,27773.91,63332.37,76743.72,68985.92,24223.76,43974.06,15480.45,21463.69,68643.07,1472.23,78983.14,80385.95,32603.25,72372.85,7913.13,60324.79,15569.38,83882.07,9182.96,5390.54,83311.41,30421.23,72228.89,75251.39,88891.58,16302.04,15099.99,71051.46,5175.41,53106.19,14967.98,103927.56,15660.21,2811.89,37411.34,4479.49,55297.15,2174.58,41738.25,2483.13,30042.23,26872.5,2616.04,2191.67,76724.7,89137.58,63348.21,11408.62,12434.78,12144.71,48476.41,14649.17,16824.18,2185.07,8768.98,62122.64,78746.18,5250.58,2811.96,15449.81,31032.05,29505.28,37165.35,79152.23,2747.7,4452.21,29045.98,98911.74,19920.7,30818.22,3936.92,10390.85
2000,38861.21,83904.15,81631.17,84175.8,3486.9,4671.96,7485.5,24270.68,49667.77,30193.77,85915.03,86186.43,32404.2,7367.05,6854.58,7193.85,1611.87,8832.63,21602.02,27879.58,71418.91,76647.3,72490.92,23701.44,47457.08,15215.21,21816.95,69347.87,1408.05,80912.95,83071.09,38189.55,75790.08,9327.33,63114.68,15945.85,91169.55,8672.71,5518.88,89039.56,32053.78,70471.55,79933.39,89299.44,16676.34,16124.31,73353.21,4959.68,54877.55,14631.52,110344.13,15021.04,2826.63,38770.11,4569.02,68393.68,2197.1,42164.8,2447.92,33117.15,27361.43,2445.1,3003.12,82737.02,109154.32,62793.58,11284.73,12250.42,12493.53,50333.63,13781.92,17428.41,2278.37,8438.19,78319.82,82058.0,6478.61,2635.05,15510.89,36774.19,29799.58,41239.37,82201.35,2876.96,4496.88,28156.12,101676.01,23729.99,31969.48,4740.12,7872.77
2001,36767.83,85563.82,79232.94,83477.75,3589.32,4703.31,7719.61,24042.31,47977.84,29435.2,84493.5,84658.97,31785.58,7941.67,6838.06,7183.39,1573.6,8292.3,21568.97,28526.27,71876.09,77984.89,71769.98,26599.86,45303.58,15475.72,22555.8,68831.81,1604.52,80242.87,84146.6,33945.83,76892.67,8416.54,65314.33,16369.34,95203.76,8862.76,5670.88,92883.96,34915.57,73207.44,80442.86,87376.49,16594.8,17132.92,72928.02,5026.55,55515.38,14811.32,98414.65,15316.23,2883.21,37897.92,4870.9,60028.24,2374.49,40779.45,2241.39,32389.15,26299.38,2576.39,3251.68,82347.17,109760.14,63039.27,10896.9,12146.46,12258.32,49394.44,14155.82,18981.3,2469.36,8663.56,75256.09,78215.5,7504.09,2771.06,15787.7,34170.46,29734.69,40473.29,81645.27,3053.59,4555.01,26933.38,102457.6,21788.32,34263.54,4938.72,8768.67
2002,31711.98,85993.39,81013.83,85606.91,3721.49,4847.85,8002.4,23262.94,48335.84,34756.49,83101.84,84508.43,31393.34,8626.35,6695.49,7282.21,1591.97,7964.65,21330.27,28010.85,68334.27,78140.34,71566.52,25648.6,44962.53,16454.6,22976.0,69463.8,1393.62,78921.26,84179.22,34905.28,76379.17,8207.4,66324.2,16523.09,100755.79,8905.83,5827.42,102537.43,38607.82,74131.97,80156.0,84435.89,15152.41,18597.31,73778.79,4771.03,58272.39,15125.29,93348.25,14856.5,2564.25,36621.95,4811.98,61437.96,2713.04,40926.57,2683.08,33711.69,26844.55,2632.84,4109.48,82139.81,106361.57,63101.86,10880.67,12633.17,12111.88,49395.9,17937.73,21723.73,2887.37,8539.28,79167.16,78591.27,9119.17,2001.89,16568.82,34723.97,29034.6,40425.4,83651.99,3261.96,4563.12,25725.66,104210.79,19888.14,34387.67,5203.17,7454.17
2003,32797.9,87641.54,82473.78,89365.58,3871.17,4886.48,8489.64,22838.98,44333.18,34159.76,85354.95,86520.92,31912.88,9364.55,7432.66,7365.96,1683.6,8075.33,21279.46,28205.42,62494.1,80889.3,73628.6,23786.67,50670.86,16962.21,23288.11,68422.03,1452.32,80222.22,82074.62,38522.44,77217.93,8471.9,65743.92,16670.3,104794.73,8914.27,6188.56,109754.87,40246.24,74226.79,76348.32,83396.42,16410.77,19365.66,74996.94,4565.33,60704.1,15229.54,89451.43,14693.71,2785.98,36412.98,5194.13,64948.86,2959.47,40246.13,2769.47,34682.88,26217.71,2653.58,5471.64,82652.81,116292.54,63728.43,10913.16,13192.61,12122.1,49607.27,18124.33,23766.76,2787.91,8356.44,76548.67,81258.83,10939.77,2280.68,17402.9,44148.86,28806.85,39965.71,84652.39,3370.1,4494.19,25684.7,106709.87,19129.26,35847.19,5783.75,5133.52
2004,33657.65,89270.41,85345.23,90648.34,4064.26,4902.14,8488.73,22831.02,45036.23,36121.87,87639.96,89504.08,34913.76,10382.5,7053.22,7253.81,1799.95,9474.76,21503.6,28623.31,61355.78,82904.94,77906.4,24109.38,45728.04,17350.61,23732.77,68450.79,1671.63,83558.33,83625.63,45384.56,78325.38,8812.05,67252.72,16918.08,117732.71,9664.18,6585.83,112338.9,43135.67,78470.3,75018.49,83368.11,16702.03,23292.57,76497.11,4590.08,63368.06,14985.17,81541.31,14377.76,2900.05,37393.05,4672.01,61379.43,2994.27,39834.03,3075.0,37626.59,28048.84,2483.42,6895.88,85081.12,123845.59,62028.94,11480.19,13895.43,12096.72,49889.87,17593.6,26731.8,2903.43,8299.75,85182.9,85667.01,15146.75,3346.2,18310.58,46523.46,28837.28,44778.75,87074.74,3448.67,4611.33,25498.26,109592.77,23951.48,37508.52,6027.28,4721.22
2005,34853.56,92608.51,92526.99,99825.58,4390.21,5006.33,8891.24,22992.5,45637.49,41713.37,92810.49,96364.43,37845.93,11488.16,7015.5,7595.24,1895.74,13075.23,22076.61,29885.6,68500.57,87141.49,83791.99,26513.95,50360.72,19130.54,24239.48,72759.8,1932.39,87911.99,90094.37,60072.62,82905.4,8688.46,68321.06,17335.19,122533.97,10477.47,7456.99,118257.11,49181.6,83313.02,73483.1,86215.02,17835.38,27192.14,77698.24,4787.29,67722.92,15152.88,100220.78,14111.75,2949.66,39395.46,4869.88,68611.64,3217.6,38425.3,3191.33,42782.71,29515.72,2514.67,11005.35,95771.57,152165.98,62687.76,12021.42,15022.88,12502.05,55130.97,17565.0,28053.42,3001.38,8800.2,111585.45,89055.21,22829.02,4110.58,19743.14,55621.64,29960.56,48406.57,91926.74,3745.99,4928.64,26529.07,111728.43,30191.36,40746.91,6692.8,3993.17
2006,36785.23,92243.88,92823.47,95912.45,4513.73,5338.09,9075.5,24326.08,43599.18,42782.2,91761.28,100661.11,42732.16,12464.21,7293.21,7803.32,2037.84,13935.32,23342.32,29449.1,69616.81,88559.22,85177.12,28436.44,50385.6,19930.21,25442.42,76297.38,1895.68,88129.93,91418.76,57041.21,83300.92,8590.67,72816.39,17881.09,111463.88,11548.6,8351.32,117101.78,52492.2,77707.49,72084.07,87573.79,17384.7,30639.91,77992.97,5147.01,69163.48,17834.82,96140.78,15417.46,3002.58,39632.93,5355.95,66521.09,3261.02,39994.65,3310.66,42520.94,31232.62,2556.68,12534.56,95921.79,160577.15,62077.82,12556.7,16441.15,12789.41,57454.76,18995.27,31435.97,3234.23,8602.51,116431.57,91201.13,21582.82,4329.55,20586.99,65565.31,30368.79,54221.65,91465.19,3969.74,5099.96,27068.85,112937.21,33881.92,38461.4,7521.7,3001.3
2007,39234.78,91910.6,94257.24,97238.67,4375.71,5765.23,9522.33,26939.6,45475.65,40693.99,91581.7,108226.1,45133.59,13646.84,7660.18,7368.07,2135.06,10855.88,24424.38,29847.04,71402.62,92061.99,85674.49,30194.32,53954.88,20309.68,27669.33,79041.85,2166.94,93810.88,94336.51,58945.89,82282.53,9956.22,72498.99,18606.52,115397.75,12490.85,9336.96,123356.02,59479.75,79051.07,69978.39,90749.9,17957.27,32132.38,78857.23,5299.42,72335.64,19776.12,98538.65,16055.49,3012.46,40107.77,5288.8,68445.36,3360.16,43555.34,3820.9,45773.58,31167.3,2514.28,13477.79,99459.35,157168.84,65174.64,13308.09,17727.56,13293.02,58703.65,19369.16,35063.46,3279.6,8725.06,116710.21,95142.36,22543.46,4668.78,21656.58,71627.6,31941.97,58150.16,92800.02,4273.2,5255.62,28678.85,114090.48,37736.09,40264.7,9758.99,3366.02
2008,41349.7,94432.15,95837.32,103898.42,4541.35,6270.29,10436.04,29481.39,42225.34,39061.03,93900.4,113768.17,43272.31,14474.78,8058.99,7337.64,2083.9,14489.02,26419.42,30834.26,74230.0,92963.2,90031.65,29457.44,54420.79,22084.76,32247.64,80414.56,2276.28,95335.6,94670.45,68776.43,84172.92,10604.84,74438.19,18968.93,111566.44,14518.46,9861.13,118418.59,61293.95,100003.64,67521.94,92921.76,17760.48,37621.26,77556.02,5321.91,72210.61,19703.17,93061.81,17966.84,3276.47,40588.89,5652.9,66834.67,3424.49,42364.41,4219.29,50816.85,33194.41,2613.6,13566.34,101914.55,173481.71,65176.21,13692.15,18989.95,14028.69,58324.08,20321.53,40773.16,3302.86,8606.69,101278.76,96852.93,23585.24,4862.68,22607.93,82172.5,33235.79,60616.59,88527.11,4592.86,5483.91,31155.45,114010.45,43364.3,39852.57,10103.89,2634.45
2009,38964.31,93399.18,91949.35,100648.29,4557.21,6631.08,10868.7,30445.58,38519.66,34977.09,85862.04,111536.84,43932.02,15645.35,8700.19,6992.06,2109.45,11069.86,26647.37,32778.08,74799.77,86524.53,89020.36,31073.43,48379.28,20947.16,33352.77,82632.11,2316.32,89729.52,92704.09,42797.17,79274.19,9857.35,73157.94,18982.65,101066.03,15768.49,10483.85,122015.72,62452.58,92005.6,69598.29,90873.76,18359.71,41783.58,74023.2,5549.91,70007.93,22119.26,85666.71,19442.48,3162.23,38887.23,6623.13,66729.62,3387.76,40801.38,3028.65,46785.93,31136.36,2605.43,14075.7,94329.29,147180.3,67220.12,13963.73,18609.83,14151.9,58794.14,21223.84,40187.86,3421.47,8950.96,97477.65,92401.2,23358.66,4445.49,21851.69,62307.71,34342.22,58565.22,85980.43,4819.76,5830.16,32616.59,114678.59,37109.64,39532.18,11049.8,4658.45
2010,43415.45,100048.35,94028.23,108749.61,4955.52,7185.92,11866.3,34024.61,37378.1,37291.09,90123.14,115141.5,49671.37,17729.82,9808.43,7003.23,2334.1,16742.67,28620.96,32374.18,76439.51,90382.28,97229.01,32583.05,54466.35,22089.42,37751.01,83568.44,2623.59,93452.63,96427.78,49222.16,84345.11,10458.4,69958.3,19479.84,110400.77,18284.04,12027.56,128144.96,68204.53,84428.83,71020.64,92488.26,19337.72,42468.01,77477.72,6196.16,74080.83,24213.86,95850.0,20446.03,3382.76,41740.27,6800.61,68581.8,3377.13,40970.13,2839.63,46681.4,32240.06,2865.52,15285.22,95679.22,160355.23,69745.59,14201.34,20639.54,15114.04,62236.29,24506.71,43389.56,3641.41,9097.53,118807.29,96758.06,25197.34,5723.26,24558.32,72744.29,35772.59,63337.74,91913.91,5397.06,6246.67,37094.4,118337.51,44981.92,41998.51,12150.15,5036.45
2011,47740.75,103744.42,96524.58,107386.6,5095.22,8062.76,12982.68,37019.47,33746.68,39195.28,93747.53,123559.3,53290.23,19075.77,10193.35,7383.84,2504.38,20012.22,30975.53,33713.42,76004.18,93662.28,99325.97,32077.89,59040.16,23635.75,41989.6,85378.32,2841.1,93706.9,98377.36,66106.29,85025.42,11345.04,68354.42,20271.89,116354.7,21836.61,12957.03,133348.58,70931.38,85128.22,72407.49,94320.35,19777.44,47548.36,76236.0,6574.13,72969.96,27660.69,93820.29,22746.81,3508.63,44669.42,6392.7,70379.43,3264.57,45501.75,2912.42,51061.82,33859.91,2719.91,15653.95,97252.11,173852.5,71828.94,15207.25,22125.61,16077.65,62314.92,26563.79,44259.21,4127.78,8933.55,123696.83,101564.53,25538.7,5428.26,26042.84,78668.87,37115.86,66471.57,93746.59,6189.72,6647.39,39762.43,119199.29,48791.22,42371.8,13406.39,5392.37
2012,48022.03,102220.97,97157.52,107791.48,5388.98,8142.1,14125.38,36551.84,32313.99,36352.12,93350.63,125067.17,54382.91,20196.68,11882.67,7820.34,2657.53,20991.74,31561.23,35897.68,80934.11,91918.95,99229.39,32268.16,54777.87,24578.99,48050.59,88440.53,2958.33,92079.66,99272.86,57309.69,86314.76,12539.63,69795.26,19491.82,119584.72,22609.75,14091.13,136403.17,60934.92,86829.1,73554.33,92379.59,20446.7,48554.7,76537.47,6916.36,71968.65,31117.69,96567.46,23265.97,3452.2,45416.54,5871.22,70317.36,3340.19,46330.88,2631.61,53016.1,35915.73,2988.23,15886.1,99835.89,180156.09,71951.24,15348.5,22841.94,16977.17,64802.66,24552.68,46163.48,4520.88,9041.14,119974.87,101066.23,21550.61,5693.87,28570.28,76172.87,36686.63,67839.26,93498.26,5705.21,6269.53,40710.9,120223.65,49561.81,42295.32,12499.69,6055.92
2013,47281.54,106208.77,95532.76,107676.24,5409.72,8386.23,15418.19,36271.22,29530.78,36340.65,95517.89,123146.25,55006.91,20922.37,12661.63,8054.21,2847.82,19358.26,31670.18,34337.12,76869.77,91430.47,97363.73,32216.36,50207.32,26009.12,46462.36,88954.73,3026.52,88823.98,98297.46,57369.02,88582.45,12794.38,71511.53,20485.1,130688.05,22915.01,13863.2,132776.38,57034.43,84702.45,75386.17,92450.46,20796.57,46988.43,76806.39,7023.86,69337.45,31271.85,92911.22,23121.0,3355.54,45164.44,5721.9,66376.05,3380.35,45025.44,2918.0,52249.08,32497.47,2985.62,16533.57,105745.12,174423.24,72715.3,15143.18,23004.81,17442.21,64568.79,25686.33,46486.4,4502.46,8388.49,112152.35,100004.08,19101.7,4869.22,28859.78,75123.87,34886.56,70394.2,92009.53,5804.93,5799.91,41424.71,121689.51,46106.33,41693.64,11995.52,6244.68
2014,45392.12,105004.37,99135.58,107677.53,5063.74,8976.19,15641.99,35520.96,29868.38,39942.31,98110.45,124062.47,55260.94,21857.84,14138.58,8403.25,3072.87,17911.47,32419.86,35759.1,73284.06,93877.61,96793.99,32571.68,52117.68,26018.01,44964.41,88280.38,3452.04,88962.05,98147.02,54989.15,87093.66,13726.92,69770.56,19989.78,113560.27,22922.94,14474.59,140232.39,55565.01,84581.68,74905.62,92279.57,20494.49,44403.21,75279.43,7303.21,71017.89,31675.89,107825.69,21916.53,3248.38,45392.38,6033.56,66235.1,3650.2,45396.98,2606.18,51645.38,35953.17,3151.76,17035.9,100959.82,161936.51,72647.88,15505.34,22749.81,17942.23,63709.04,26889.45,47276.77,4762.33,8260.49,117355.19,99663.06,20723.38,4896.56,28168.22,71190.15,34584.52,72901.53,94269.82,5704.66,5820.64,42565.31,123088.25,30046.09,41822.02,11991.83,6172.24
2015,45989.87,97896.91,100654.45,104749.35,5084.9,9757.39,15854.9,33348.1,28241.15,37999.76,92139.11,123082.95,53753.71,22557.33,15665.21,8521.05,3261.91,12917.96,31066.34,37583.52,76167.13,92418.55,95413.9,34449.01,46513.12,24015.68,47336.66,90976.0,3481.62,90450.96,99701.88,51264.4,89109.52,12774.75,69646.06,20371.82,98146.13,22470.43,15293.08,177751.8,47225.28,86432.81,76599.58,91681.42,20534.9,43780.51,76952.32,7747.52,74539.66,32159.11,115883.15,23498.12,3256.03,44587.22,5949.84,76679.56,3732.63,45011.35,2697.1,50069.14,37274.31,3143.25,16723.48,99363.81,135681.09,72304.09,16148.41,22366.74,18684.55,64469.91,25987.33,50361.51,5045.22,8414.34,115273.53,102130.03,21255.74,5238.94,28199.15,64263.08,33583.45,75990.33,92626.24,5945.78,6027.98,42766.54,125028.61,12314.61,40277.47,11318.08,6224.62
2016,46076.32,103504.65,100941.44,105239.74,5443.27,10173.75,16284.25,32347.22,27053.31,38980.1,92291.96,123755.37,52475.87,23282.41,15669.8,8789.47,3664.37,10827.22,30847.08,39335.73,79664.04,94311.01,97437.07,35961.18,43765.99,23477.73,45247.34,92877.89,3880.42,92291.22,100266.61,49343.85,88521.24,11778.4,67691.61,19642.93,96972.84,22573.21,16142.63,185184.11,47843.37,85950.37,79596.22,94598.21,20024.68,42925.61,74569.22,8004.7,76053.38,33211.09,121002.01,23742.11,3303.94,45212.03,7129.42,76149.42,3969.12,48773.6,2589.62,50876.13,36607.37,3030.14,15526.73,97950.03,129699.7,74711.57,15883.15,22628.23,19110.45,65004.63,26325.55,53468.16,5120.31,8391.89,116285.24,102314.22,23697.24,4522.74,28999.8,59741.17,33978.59,74262.88,91491.17,5776.76,5631.55,42781.06,125299.06,4981.0,39677.67,11333.37,6297.79
2017,51039.76,104801.45,104178.24,108113.43,5638.32,10419.67,17360.23,32804.2,25401.34,40179.51,95285.07,126485.71,53267.59,24634.01,15734.49,8849.77,3475.71,11034.29,30862.99,40926.06,77580.99,97182.97,101949.61,36179.52,43196.92,24002.77,45693.55,94717.13,3966.74,94234.27,102928.53,49076.68,91253.0,11735.35,68229.16,19077.85,95294.28,22935.8,17004.3,194314.35,47250.15,86585.83,78780.46,96740.65,19957.61,44487.09,73972.87,8640.9,78655.28,32775.99,125221.23,24134.0,3198.04,45151.63,6899.35,74399.96,3514.57,49150.67,2725.79,51969.38,33971.45,2975.13,13981.84,101462.18,133727.12,74900.85,16369.01,22998.58,20491.38,64868.62,26661.11,57629.65,5057.87,8378.54,126697.77,104321.45,24149.04,4244.2,30862.89,58804.19,34390.57,76576.14,94162.75,5510.93,5577.62,43363.77,126350.86,1025.62,39667.12,10647.0,6702.7
2018,50713.97,107009.15,104926.51,104883.47,6006.09,11106.37,17839.73,33033.88,25752.63,39765.78,96678.95,127967.52,54559.2,24682.8,16572.36,9027.89,3479.5,13253.0,31985.59,41469.74,75361.29,96217.84,101532.74,36557.88,44816.94,23999.17,46509.23,94703.78,4410.48,92829.69,102978.29,50507.29,91142.06,11767.16,67265.88,19066.15,105767.18,23693.77,18122.85,201327.17,44403.18,87267.43,77118.45,96712.75,20336.04,45023.19,72164.71,8761.29,79685.18,34396.15,120380.21,24560.84,3008.26,45101.32,7613.54,80005.15,3427.78,49926.3,2682.98,53047.25,31959.86,3126.92,14260.54,100722.56,143177.0,75566.32,17050.53,23359.51,21326.57,64318.05,26035.54,59482.13,5223.04,8496.7,128272.07,103344.7,24669.48,4350.84,31100.49,62212.14,35033.83,78785.94,94056.84,5538.12,5738.9,43320.26,128643.01,902.81,39189.46,11019.12,6466.3
2019,47348.27,106091.83,104983.74,105125.24,6191.36,11588.94,17828.07,32781.53,26513.72,41205.71,96701.77,129094.63,54404.87,25359.87,17242.07,9115.77,3527.19,12432.73,33380.79,41434.88,76531.59,95441.3,104931.07,37551.5,45016.16,23670.65,45183.27,94937.3,5252.02,92961.46,103284.03,51151.28,90650.97,12339.65,67270.07,19258.12,105485.45,23922.5,18428.99,221661.22,44637.73,93442.88,77690.25,96354.74,19975.36,44316.55,71979.55,8883.24,80702.37,34642.76,120936.16,25081.78,2976.56,43465.47,7819.01,77818.56,3386.83,51059.67,2721.25,54386.81,31431.28,3182.33,13715.83,100463.91,138858.04,79249.08,17254.52,23553.08,21530.49,65535.46,25843.16,62215.1,5456.75,8616.03,127116.55,105203.2,25853.12,4324.71,31744.87,65106.29,35176.55,80044.11,95946.07,5618.33,5978.53,43490.1,130106.74,612.27,39377.02,10866.77,5976.65
