country,iso code,observations,money growth,inflation,gdp growth,nominal interest rate,exchange rate depreciation,income group,oecd
Fiji,FJI,29.0,0.07079316946047776,0.03548608516026408,0.01665320696172201,0.0811150960934217,0.013183259967622263,middle,no
"Gambia, The",GMB,30.0,0.16097744352532017,0.11748361406433827,0.029587641262801112,0.2689805555554445,0.08522701855371917,low,no
Georgia,GEO,20.0,0.20471455281230133,0.06420856126328567,0.05089884151371327,0.15055034775176504,0.016280520392907727,middle,no
Grenada,GRD,41.0,0.08181770725810766,0.02940597554021407,0.02903727785576371,0.10563422265729402,0.0,middle,no
Guatemala,GTM,26.0,0.12666598384665084,0.042947824694225645,0.03537704062301428,0.1443817307692308,0.0098436241802482,middle,no
Guinea-Bissau,GNB,13.0,0.17254941643425936,0.0412276682224062,0.0377431859109425,0.054954230769230755,0.008071492743903175,low,no
Guyana,GUY,41.0,0.1793675549352598,0.1539170957105107,0.03123559815342003,0.16106108313975995,0.11365414594429635,high,no
Haiti,HTI,28.0,0.1524624143541018,0.1373515754081729,0.018513605266507804,0.16028370535714292,0.06816603934245014,middle,no
Honduras,HND,23.0,0.12466567330683098,0.05580505435146965,0.03659464310695015,0.1925018519933947,0.023021357798207687,middle,no
"Hong Kong SAR, China",HKG,32.0,0.07936879889846238,0.016238851489607464,0.029651461616344577,0.06369466145833333,0.00024916388885665164,high,no
Hungary,HUN,31.0,0.12431431718328056,0.08355424333168693,0.02190607512884113,0.12673696091376077,0.047781209684202075,high,yes
Iceland,ISL,28.0,0.10510928322463853,0.047509824493846775,0.03189064769787442,0.11647408340768235,0.027699413984051846,high,yes
India,IND,44.0,0.1566205550275941,0.0724086782269342,0.055755518748426214,0.1325804015151515,0.05248677228115084,middle,no
Indonesia,IDN,37.0,0.17217830972576142,0.10456829981169324,0.04754045657912975,0.16746756756756764,0.07039896452394045,middle,no
"Iran, Islamic Rep.",IRN,13.0,0.2765968633310987,0.16728068750337122,0.02692599119150252,0.13373846153846156,0.11236394499112912,middle,no
Iraq,IRQ,13.0,0.16579277225712352,0.050354024633040284,0.061709884996882014,0.1449172322775263,-0.017078250361125757,middle,no
Jamaica,JAM,47.0,0.17512971605144312,0.14938503841429562,0.010397362819649203,0.21906593168361044,0.11794243978863794,middle,no
Japan,JPN,25.0,0.014359024637901063,-0.004617460567443721,0.00926853204590139,0.020260088888888892,0.00036134462798265155,high,yes
Jordan,JOR,26.0,0.0858775126520166,0.03762715662827243,0.03903363159678319,0.0919897435897436,5.637932938395984e-05,middle,no
Kenya,KEN,51.0,0.15317916952433874,0.10066508516727746,0.042006540358753064,0.1637932166431268,0.05614065163147175,middle,no
"Korea, Rep.",KOR,27.0,0.12438632090315749,0.019338762376851282,0.03838542156690816,0.06176512345679015,0.018372511563507832,high,yes
Kosovo,XKX,11.0,0.08150351471482553,0.018315925280612877,0.04633099352192693,0.11065304226074385,0.022187887152403496,middle,no
Kuwait,KWT,29.0,0.06890434083732466,0.024193687135215525,0.038129393070371886,0.06597653735632183,0.001551715982181845,high,no
Kyrgyz Republic,KGZ,27.0,0.20904988589705864,0.10581921300964292,0.04144412070648951,0.3010055374483128,0.075069075371053,middle,no
Lao PDR,LAO,13.0,0.3059075596982608,0.16376711542863398,0.07026852337780953,0.28096089743589736,0.079439256506042,middle,no
Lebanon,LBN,19.0,0.08910333900374345,0.023413790879318164,0.03954174454092074,0.10936842105263153,0.0,middle,no
Lesotho,LSO,41.0,0.12724374639095037,0.08939786032509489,0.03088144577722529,0.14546313685636858,0.07925491901594883,middle,no
Liberia,LBR,18.0,0.15169691197657387,0.0586357088756313,0.023027910986251676,0.15729990227716378,0.06143670843696669,low,no
Libya,LBY,16.0,0.14103342040370537,0.11244733370792215,-0.008135851090864232,0.06346354166666666,0.0695938633398343,middle,no
"Macao SAR, China",MAC,37.0,0.122860297950109,0.047512262123846405,0.028135473871865102,0.07072568093085524,0.00017985733607961407,high,no
Madagascar,MDG,34.0,0.15719083535128675,0.10646054492264123,0.023247219531923324,0.38745339052287586,0.08024918295159122,low,no
Malawi,MWI,41.0,0.2521086506956991,0.20137675510870046,0.035360688410676744,0.31603166471608357,0.18612240470983177,low,no
Malaysia,MYS,53.0,0.12605156554020258,0.03787977656268038,0.05922890862199326,0.08176808028602743,0.0058377130772904184,middle,no
Maldives,MDV,28.0,0.14404121640277867,0.06119083372876166,0.053457813062021575,0.10564084220788898,0.009973282907468795,middle,no
Mali,MLI,13.0,0.09491314333286871,0.041535013055555625,0.043248827217751584,0.05365583333333334,0.008071492743903175,low,no
Mauritania,MRT,13.0,0.13115913149685787,0.05772523808342167,0.039495556977960034,0.18955128205128202,0.025200245812087685,middle,no
Mauritius,MUS,43.0,0.13507545491142525,0.05890650214078064,0.043254797309743465,0.14573333333333333,0.04252597516709522,middle,no
Mexico,MEX,30.0,0.1299111078065993,0.08302543129259066,0.020584651112042662,0.12420642310130736,0.06644730069189575,middle,yes
"Micronesia, Fed. Sts.",FSM,27.0,0.044244848223003785,0.022943514002474075,0.0004205852930836418,0.15090478395061727,0.0,middle,no
Moldova,MDA,28.0,0.18651986227868345,0.11908291566239226,0.026318524841376867,0.1971253001076882,0.054619833968414966,middle,no
Mongolia,MNG,24.0,0.2490917995475459,0.11516115004218652,0.05921487442545592,0.2525471446412589,0.05449553143129826,middle,no
Montenegro,MNE,18.0,0.13525586311423798,0.0424002622025379,0.027142723833081916,0.08503379629629629,0.009935771679862926,middle,no
Mozambique,MOZ,26.0,0.1900753754433948,0.06349356064569012,0.06255488640995743,0.201627675757713,0.07081152573263583,low,no
Myanmar,MMR,27.0,0.27619194169339467,0.13831815501224165,0.08967187849046265,0.1847720797720798,0.2328926443973467,middle,no
Namibia,NAM,31.0,0.15165537206711655,0.07515067920220986,0.031399831515105614,0.13322599742640262,0.05750878749634958,middle,no
New Zealand,NZL,13.0,0.0666322963567596,0.025751704686006294,0.028616759876991082,0.07626661462680817,-0.024467170338318134,high,yes
Nicaragua,NIC,34.0,0.5940702991678801,0.5696440486529823,0.03004849997258363,29.611519492212036,0.5003362359464301,middle,no
Niger,NER,13.0,0.15281833013738622,0.0322745655391492,0.05584265365071661,0.05528275641025645,0.008071492743903175,low,no
Nigeria,NGA,52.0,0.23364729228045977,0.17560040617327166,0.032578273620923914,0.1523785873411508,0.13216708995678572,middle,no
