date,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend,real_m2,real_m2_trend,t_bill_3mo,t_bill_3mo_trend,pce_inflation,pce_inflation_trend,unemployment,unemployment_trend
1980-01-01,44.02370805006194,43.197333496579006,26.86232634716824,26.31002439198898,8.75098861643722,8.31517373392838,103.08510005187294,100.52276531762237,48.36120693073636,47.578129428941814,20.36662619740101,20.430372515214312,23.54954669009121,23.627090108069236,0.13353333333333334,0.10186046211733817,0.11066737664181758,0.08301461267364547,0.063,0.07316391565196861
1980-04-01,42.94826283684592,43.25976174269577,26.17292763585579,26.366100266239368,7.9728168645193955,8.313877851395034,100.82874736681777,100.48296285180894,48.76343605244918,47.91302616627663,20.098634714147277,20.41498581997261,23.253422266459708,23.607756022151996,0.09616666666666668,0.1040979280632209,0.10757889887122785,0.08242870809294468,0.07333333333333333,0.07420073233767949
1980-07-01,42.720576423229225,43.32031045224826,26.378351909874986,26.424015782901552,7.404111451188232,8.308261883839426,99.9537050112626,100.42474276247597,48.94571321646249,48.23953012451197,20.079435125668333,20.402707993109136,23.335808199236148,23.598469449168427,0.09153333333333334,0.1059779841788363,0.10604102275920191,0.08147029865806044,0.07666666666666667,0.07530686908549653
1980-10-01,43.3670613460984,43.38215814315709,26.60910246775482,26.48562513088951,8.010471766124573,8.300259270945258,100.94797208455103,100.35460255839,49.01301993104223,48.556883919811675,20.24283544567417,20.394258940000405,23.14608854773038,23.601604458959187,0.13613333333333336,0.10746098765183794,0.1066363062741762,0.08013384094877597,0.074,0.07645234334721064
1981-01-01,44.06340533577577,43.44812309855095,26.596153261805966,26.552772105636958,8.735671098601735,8.291202576005773,101.17859628198738,100.27873320980409,49.22885818856769,48.864764339389275,20.505828443796684,20.39015573336176,22.858617456041518,23.61938850595843,0.1439,0.1084982677631008,0.10225063257424427,0.07842914824743773,0.07433333333333333,0.07760802244810096
1981-04-01,43.59346155290966,43.521032040811804,26.431830182518794,26.62739914749606,8.40629197548391,8.282235565340834,100.92381095448089,100.20367829992013,49.62601277388293,49.16313793141956,20.263338819442584,20.39082261798269,22.944976678682877,23.65379235914221,0.14906666666666665,0.10905907400955087,0.09395798668885202,0.07638259787722049,0.074,0.07874324099885462
1981-07-01,43.96609997469932,43.60411635222588,26.403035872856496,26.711502657944408,8.795582394330761,8.27476726392753,100.52639268797078,100.13652129499442,49.92229541070259,49.452210347032626,20.446387607574096,20.396759166057322,22.84281998561381,23.7063455052737,0.15053333333333332,0.10913478197076218,0.08657656742201002,0.07403545558900332,0.074,0.07982528692946199
1981-10-01,43.34023362791739,43.700683085057484,26.082822718584392,26.806988785707443,8.499371076065147,8.270278999318366,99.74967766386759,100.08477584307096,50.304723220880575,49.73249324713713,20.20316946122797,20.408389374708477,22.956670561608366,23.778177856036713,0.1175,0.10874177197171941,0.07657791660469027,0.07143997175167252,0.08233333333333334,0.08081848364428917
1982-01-01,42.541162925192964,43.8143051585785,26.16878223560076,26.91560732482435,7.643684635633388,8.27056679858517,97.78141196918031,100.05618838130748,50.62101631790942,50.004814510847176,20.045216928354158,20.426173765258113,23.089293129688276,23.869923405786995,0.12813333333333332,0.1079222984320089,0.06270539338874914,0.06865623492901,0.08833333333333333,0.08168351374337132
1982-04-01,42.605366879495556,43.94838168822117,26.080598375054986,27.038689396086372,7.590532121030138,8.277574885187981,97.93338565602609,100.05829981269392,50.708315366522136,50.27038722551094,20.04312326248452,20.450450558055028,23.209379137331407,23.981745500139287,0.1242,0.10672408966373466,0.055230761918342086,0.06574754490033084,0.09433333333333334,0.08238200660779924
1982-07-01,42.319032065212994,44.10556465515178,26.219588597432107,27.177131650092722,7.454200560491926,8.29285920269177,96.95162546296221,100.09723712197994,50.78598036314159,50.5308430796501,20.028497549342024,20.481324498989498,23.194461134353798,24.113355917002647,0.09316666666666666,0.10520750587581407,0.054498269896193774,0.0627734821689874,0.099,0.08287974775590745
1982-10-01,42.20743230181092,44.287716149448336,26.614754358519836,27.331254162489458,6.813131206850143,8.317558648344287,95.75731619387398,100.17782937223384,50.8206546500751,50.78812716452083,20.13246103442599,20.51864915102577,23.40046429984537,24.26400750249893,0.07906666666666667,0.10344382972112472,0.05006102194487294,0.05978705424896829,0.10666666666666666,0.08314999228523394
1983-01-01,42.650080000403335,44.49561559656754,26.824594604212376,27.500789517984618,6.944026881291715,8.352298290328935,96.08420945775163,100.30296760732647,50.71385694973232,51.04438742488779,20.313535310863877,20.561995680429092,24.440964138577673,24.43238007254895,0.08106666666666668,0.10149681832803847,0.04545351190340852,0.05683609664659168,0.10366666666666667,0.08317607045096923
1983-04-01,43.507881207654975,44.72875065915229,27.346308445618533,27.685024274536353,7.461730101775235,8.396700200676323,96.95232162769972,100.47277984482187,50.64578622664655,51.30183689224417,20.61098446296905,20.61069216163416,24.8212529071858,24.616591166369137,0.08396666666666666,0.0994149930980182,0.044952930048196116,0.053962366097985645,0.10133333333333333,0.08295601042979225
1983-07-01,44.25195589348655,44.98544373954322,27.827300116779366,27.882809361031086,7.824011526328372,8.449435320634322,98.611211183723,100.68474950523974,50.69803264796229,51.5625242513341,20.72608593821008,20.663907518431998,24.877772676004913,24.81473049373524,0.09140000000000001,0.09723410658773841,0.04223665831541146,0.05120050522381382,0.09366666666666668,0.08250064702101682
1983-10-01,45.046188382914735,45.2632266110294,28.163420764009565,28.092760205124744,8.52912087744629,8.508537739253377,100.17423941049645,100.93414227221392,50.836517979751775,51.828122980099906,20.86358265521145,20.720805295130162,25.067168436392247,25.024971536797718,0.088,0.09498025614985402,0.0376526830551962,0.04857952574720874,0.08533333333333333,0.08183230085077146
1984-01-01,45.735864435569205,45.55912510890422,28.29972836169567,28.313424713688935,9.255556493816997,8.571588665031596,101.66760774301574,101.2149036775334,51.08006116138771,52.09979063058624,20.945175681335677,20.78058080376506,25.24566107848302,25.245475593291733,0.0917,0.09267589282040258,0.04028013397711949,0.04612283698698517,0.07866666666666668,0.08098027130746321
1984-04-01,46.408341633742694,45.86996481241617,28.656541947885675,28.543355885650115,9.478128251120769,8.636115907079818,102.73047413720823,101.52046303918763,51.578694396047815,52.37807702818539,21.038302253912768,20.842510667784968,25.50552251180018,25.47437098318039,0.09796666666666667,0.09033910497532795,0.040842277684382866,0.04384701898527541,0.07433333333333333,0.07997604592480077
1984-07-01,46.73119273145249,46.192605065362216,28.759240435315828,28.78105410882756,9.597981143457032,8.699990712980492,102.90188273187846,101.84447350802617,52.10861580804495,52.66289368028292,21.0861441356292,20.905966559715246,25.546881171417702,25.709719860813852,0.1032,0.0879873710575612,0.03527059223961859,0.04176500009483059,0.07433333333333333,0.07884966623359235
1984-10-01,46.97184353116157,46.524159840266464,29.005869240271867,29.02504259262496,9.417362377960847,8.761530797753412,103.25728332717709,102.18127417227419,52.63004344263776,52.95364161645511,21.073717337360645,20.97043529346545,25.8405180591813,25.94953197380135,0.08803333333333332,0.08564293673609044,0.03482818377784369,0.03988783070508878,0.073,0.07762764706927648
1985-01-01,47.3228228141327,46.86200043082756,29.48897999338,29.27378018414898,9.059947004082954,8.819549957484432,103.85385535466514,102.5257956812998,53.13218149718661,53.24935666245605,21.08164821831929,21.035510244999095,26.29948128626205,26.19163715057651,0.08183333333333331,0.08333755557299284,0.03583524984319464,0.03822250220057851,0.07233333333333333,0.07633368055922903
1985-04-01,47.62590387730494,47.20370347271678,29.738019762945285,29.525659526640343,9.171027676091656,8.873236028958273,104.31356555857805,102.87357521633126,53.51757052870227,53.54884778804016,21.102396670492293,21.100844531354436,26.53037787174658,26.433713125250392,0.07460000000000001,0.08110447512821878,0.03420785621104505,0.03677284368649882,0.073,0.07498856655140752
1985-07-01,48.22630061948743,47.54706450946464,30.27792169746647,29.779152937789995,9.038441386963932,8.921914690947764,104.33262355677353,103.22091972102122,53.90438053307454,53.85082262042496,21.31210005015396,21.166115922453304,26.860592126283628,26.67342007350131,0.07106666666666667,0.07897600282281887,0.03433608679570965,0.03554119223532534,0.07200000000000001,0.07361060467675329
1985-10-01,48.44169587418534,47.89008070057875,30.29612999020965,30.032813931223743,9.369247698220747,8.965091532505701,104.5465483177815,103.56498592859019,54.22648042356396,54.153939407063106,21.334272597542473,21.23099917497593,27.024967649394398,26.908397054442602,0.07166666666666667,0.07698038078088859,0.0351672589143488,0.03452828180236154,0.07033333333333334,0.07221685171211296
1986-01-01,48.65340613231382,48.231119214113576,30.475448827921785,30.28546118602609,9.319235123716151,9.002346969633585,103.88237089445673,103.90358880785817,54.5114388453164,54.45685973074741,21.47702739054123,21.295256584479556,27.155383779899434,27.136324518276485,0.06896666666666666,0.07514090779142583,0.03033667043436128,0.033734093152011126,0.07033333333333334,0.07082335780641025
1986-04-01,48.73834203148752,48.5688498313778,30.575322817597204,30.536041422938883,9.170454448728433,9.033516085036766,103.31645833094302,104.23513057203961,54.89279512812112,54.75826112505209,21.53842787939424,21.358712452800738,27.691744271653505,27.354888689535148,0.0614,0.07347756157210712,0.020983081389528424,0.0331590064093728,0.07166666666666667,0.06944499590958209
1986-07-01,49.06485232814071,48.90217423064922,31.063871184432827,30.783589171748808,8.900373193285914,9.058640809922782,103.54377413192665,104.5579817699531,55.21788288906718,55.0568269538421,21.607065607726952,21.42130294533418,28.186275667264912,27.561728970486477,0.055233333333333336,0.07200646093990598,0.018396010886624126,0.0328012783103467,0.06966666666666665,0.06809633270626972
1986-10-01,49.18395658103105,49.23007497074804,31.181271338422878,31.027136099937017,8.892079599867646,9.077861883797496,104.01791623538745,104.8699154376249,55.45999368992919,55.35129810636792,21.562247727052835,21.483076179447597,28.57044444744464,27.754647198300884,0.05353333333333333,0.0707361762358134,0.017459753787878673,0.0326515556376956,0.06833333333333333,0.06679332342533759
1987-01-01,49.37527976205101,49.55161505403426,31.19587515717738,31.265865066255525,9.109302239820073,9.091233309496733,104.94506215922215,105.16804146441307,55.65930828899258,55.64049230117238,21.49462304904065,21.54419728505012,28.73716434936971,27.93180257354816,0.05536666666666666,0.06966479459606624,0.019864046858777185,0.03269148188204245,0.06599999999999999,0.0655529047543754
1987-04-01,49.764279927648886,49.865809663085564,31.61500425110446,31.499037214638303,9.055720586364705,9.098703465637737,105.24330189784716,105.44890530288981,55.94007264992286,55.923274211697446,21.585994616905072,21.60488309763136,28.69927623816006,28.091849308903814,0.05656666666666666,0.06877965138008738,0.03080815013825422,0.03289320565785404,0.06266666666666666,0.06439297588716537
1987-07-01,50.061380700753965,50.17154410089616,31.949531864937743,31.725854098869508,8.98282404380072,9.100243395761353,105.69254936240367,105.70888419448396,56.20896176287327,56.19850135067113,21.618513827758964,21.665321803637926,28.5831943004701,28.233949961968612,0.06043333333333334,0.06805914561734382,0.035093537249087925,0.03322085843270763,0.06,0.06333171545201817
1987-10-01,50.795394935828114,50.46762011930318,31.959307984318635,31.945575565766028,9.599803573161019,9.09580878838181,106.52184183232612,105.94420306326352,56.4623131710118,56.46502440004585,21.790012329632585,21.725691876706595,28.603210566719227,28.357669230546627,0.058633333333333336,0.06747404322185668,0.0377523122564134,0.033637268514480755,0.05833333333333333,0.06238622313398171
1988-01-01,50.919643883553114,50.7527509265746,32.43739930536924,32.15759112090414,9.118986331701274,9.085293379573525,106.33024820412192,106.1510601467366,56.84567058358697,56.72168500015494,21.817155815901796,21.78614435854412,28.80015857773797,28.46282348541241,0.05723333333333334,0.0669903439749696,0.03614990107758209,0.03410643463531116,0.057,0.0615715162959464
1988-04-01,51.470503663167555,51.02583816966623,32.64452894664069,32.36129257739868,9.267849478466365,9.068909145316152,107.57865136613083,106.32600781427335,57.12018116452474,56.96730936939382,21.849620881243563,21.84687234711776,29.008072178732583,28.549420397637405,0.0621,0.06656852221434588,0.037573244045354226,0.034594927429675335,0.05466666666666666,0.060900079244677253
1988-07-01,51.645340921699585,51.285877679437874,32.86614478766058,32.556243200515,9.2091416741786,9.046899235337703,107.60498627330205,106.46571599900035,57.413455805252624,57.20079007970373,21.88109751041083,21.908090571666065,28.85927118909094,28.61771758036287,0.07010000000000001,0.06616295414599782,0.040499792695337655,0.03507059469857617,0.05466666666666666,0.060381539089254345
1988-10-01,52.21724648476732,51.53213821130245,33.21453293707748,32.74218519203014,9.310485382785133,9.019637803304553,108.56994766214873,106.56765111949359,57.693903430324255,57.42110764657171,21.95791182611375,21.970017896612323,28.798495994170697,28.668298034606895,0.07726666666666666,0.06572522314955376,0.04202167414050817,0.035503145690901385,0.05333333333333333,0.060021627055896504
1989-01-01,52.60044630159962,51.76411537942084,33.31086503728763,32.91906111039192,9.596559067503614,8.987604365965957,109.3516055631067,106.63001834838475,57.956875117177425,57.627371700585364,21.981136212874635,22.03285869551812,28.580395383472702,28.701934382952203,0.08539999999999999,0.0652093732583008,0.04573345939232154,0.03586568290428666,0.052000000000000005,0.05982250257555844
1989-04-01,52.88623561590893,51.98174028652506,33.48714439383241,33.0871196005311,9.432865304341213,8.951457896192018,109.53545881090301,106.65230256193837,58.31792687201409,57.81886262894427,22.028511616458466,22.09681210049279,28.41191376309618,28.719515729988917,0.08410000000000001,0.0645766619077242,0.048240708483837214,0.036135382916648716,0.052333333333333336,0.0597821448956183
1989-07-01,53.15743231460204,52.18548100525308,33.68816274969072,33.24687067876206,9.300414460567206,8.912218963391632,109.53704784390841,106.63571285137017,58.6197887782172,57.99507109829436,22.101290774559075,22.16204706355346,28.682640225166168,28.721885354164876,0.07843333333333334,0.0638009656750228,0.041585915850102406,0.036295589666209285,0.052333333333333336,0.0598936441993445
1989-10-01,53.14388755369899,52.37639202676932,33.785173084710024,33.39909435192651,9.208104959124087,8.87118547553845,109.29922263172953,106.58327783725277,58.88113495645175,58.15580773924251,22.092474587735126,22.228691617696843,28.97318187365599,28.709718716205632,0.07653333333333333,0.06286836322370311,0.039269128010184895,0.036337212919669605,0.05366666666666667,0.06014543516277908
1990-01-01,53.296257207213706,52.556161913234796,33.92283006323497,33.544869143737024,9.173612285526792,8.82986916206834,108.76552235576963,106.49984528151262,58.76984302014265,58.30128543342,22.241143624168075,22.29683720367392,28.847512036551876,28.683688384192813,0.0776,0.06177407844705804,0.04235064704839564,0.03625446889759583,0.053,0.060521227267672804
1990-04-01,53.37705033327222,52.726991649475416,33.883708792804185,33.68554041590065,9.0876688019214,8.789959096526424,108.07020284766384,106.39195115182011,59.00145132409762,58.432185349760424,22.33713920312421,22.366490601763385,28.70615027869625,28.644648822592437,0.07746666666666667,0.06052187584469905,0.03783452859891545,0.03604340626748569,0.05333333333333333,0.061000680765466365
1990-07-01,53.29005567246002,52.8915799834675,34.07928577857051,33.82271715970296,8.866310868512413,8.753323153140219,107.26400880024765,106.26752355468558,59.19137111484092,58.54950006177969,22.384346500703668,22.437623750680352,28.707562757867077,28.593570286394755,0.07476666666666666,0.059125411117208156,0.044864103500443564,0.03570388380818119,0.057,0.0615587551405582
1990-10-01,52.66190515116275,53.05306969192199,33.92181748819286,33.95816158083656,8.30922540955353,8.721981843755701,106.5185792447557,106.1355027593244,59.29554788039243,58.6545963098669,22.207319995207047,22.510189890925137,28.630465361182182,28.531470705452975,0.06989999999999999,0.057608930459431135,0.05043220207387966,0.03523687974998142,0.06133333333333333,0.062165617785201625
